vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
0,0,0,0,0,2732.1266749540864,VS1leftbutton,1,0,4,1,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
1,0,1,1,1,2778.3362400250226,VS1leftbutton,1,0,4,2,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
2,0,2,2,2,2801.7347316079467,VS1leftbutton,1,0,4,1,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
3,0,3,3,3,2813.0487585714636,VS1rightbutton,0,1,1,3,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
4,0,4,4,4,2822.081847506155,VS1rightbutton,0,1,3,4,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
5,0,5,5,5,2824.8149856841537,VS1rightbutton,0,1,1,2,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
6,0,6,6,6,2883.6232043436776,VS1leftbutton,1,0,4,2,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
7,0,7,7,7,2891.1406263684275,VS1rightbutton,0,1,1,4,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
8,0,8,8,8,2893.2712699800304,VS1leftbutton,1,0,3,1,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
9,0,9,9,9,2895.692887309824,VS1leftbutton,1,0,2,1,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
10,0,10,10,10,2897.986001748379,VS1leftbutton,1,0,2,3,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
11,0,11,11,11,2899.987074835388,VS1rightbutton,0,1,2,4,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
12,0,12,12,12,2902.0687240851094,VS1rightbutton,0,1,3,4,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
13,0,13,13,13,2903.900089664521,VS1leftbutton,1,0,2,1,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
14,0,14,14,14,2906.0368458620396,VS1rightbutton,0,1,3,2,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
15,0,15,15,15,2908.989877372942,VS1leftbutton,1,0,2,3,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
16,0,16,16,16,2911.285029554003,VS1leftbutton,1,0,4,3,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
17,0,17,17,17,2913.2007920633278,VS1leftbutton,1,0,3,1,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
