Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,289.33870443590786,291.34291305428815,None,0,1,,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
Q,left,Pretarget,0,1,1,1,292.8414574093531,294.84311050871474,left,1,1,1.0792528491347184,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
Q,right,Target,0,2,2,2,296.34075212331663,298.34078259962916,left,0,1,0.5003921820225514,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
T,left,Distractor,0,3,3,3,299.8401331333662,301.84053991194014,left,1,1,0.8325701957710407,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
Q,left,Lure,0,4,4,4,303.3397114374402,305.33918307441854,left,1,1,0.7996390962980513,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
L,left,Distractor,0,5,5,5,306.83938919053435,308.8404436709534,left,1,1,0.5838039250265865,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
V,left,Pretarget,0,6,6,6,310.3384769863751,312.33824568720047,left,1,1,0.575917296911939,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
V,right,Target,0,7,7,7,313.8378759614079,315.8377120309251,right,1,1,0.631331574262731,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
K,left,Distractor,0,8,8,8,317.3376473890621,319.3374420749569,left,1,1,0.7107656772568589,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
G,left,Pretarget,0,9,9,9,320.8371580036419,322.83725937748204,left,1,1,0.6843622831584071,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
G,right,Target,0,10,10,10,324.33702470987373,326.336338832436,right,1,1,0.6263385918337008,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
G,right,Target,0,11,11,11,327.83561526061385,329.8360910118936,right,1,1,0.5144424037789577,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
P,left,Pretarget,0,12,12,12,331.33591216405875,333.33658071811806,left,1,1,0.48741055603204586,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
P,right,Target,0,13,13,13,334.83484340789437,336.8341780618666,left,0,1,0.5330493154870055,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
G,left,Lure,0,14,14,14,338.3344829853959,340.3343832155715,left,1,1,1.076487203959914,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
Y,left,Distractor,0,15,15,15,341.83352009431655,343.8345460232431,left,1,1,0.589494654615919,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
B,left,Distractor,0,16,16,16,345.3329027083819,347.3334480739777,right,0,1,0.6335236231516319,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
T,left,Pretarget,0,17,17,17,348.8322516381031,350.83185608764325,left,1,1,0.7146230160324194,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
T,right,Target,0,18,18,18,352.3317667439278,354.3313952537155,right,1,1,0.7953910191117757,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
S,left,Distractor,0,19,19,19,355.83107364841635,357.8316270340947,left,1,1,0.662794677873535,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
