Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,3160.9186628918815,3162.9220043789646,left,1,1.1292134705308854,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
F,left,Distractor,0,1,1,1,3164.4219121480182,3166.421312245864,left,1,0.5833859183403547,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
G,left,Distractor,0,2,2,2,3167.9212732682645,3169.9209810164666,left,1,0.8488204864988802,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
V,left,Distractor,0,3,3,3,3171.420916695406,3173.4222846006396,left,1,0.5168715263007471,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
H,left,Distractor,0,4,4,4,3174.9203188784722,3176.921088164765,left,1,0.44859207455556316,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
C,left,Pretarget,0,5,5,5,3178.420019408599,3180.419042241774,left,1,0.4669949553681363,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
C,right,Target,0,6,6,6,3181.919341070039,3183.918643643685,right,1,0.6141150240200659,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
C,right,Target,0,7,7,7,3185.4187445363186,3187.418763463713,right,1,0.77258222589262,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
W,left,Distractor,0,8,8,8,3188.917842597866,3190.9178615252604,left,1,0.6142853705678135,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
R,left,Pretarget,0,9,9,9,3192.417041070841,3194.4168511552925,left,1,0.5338647974531341,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
R,right,Target,0,10,10,10,3195.9168712055,3197.9161705711103,right,1,0.5011075733636972,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
Z,left,Distractor,0,11,11,11,3199.4161181197724,3201.416199283005,left,1,0.5335542598677421,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
R,left,Lure,0,12,12,12,3202.9161878944888,3204.915086576788,left,1,0.8360740093194181,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
H,left,Pretarget,0,13,13,13,3206.4149786264807,3208.41442684482,left,1,0.5922025551972183,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
H,right,Target,0,14,14,14,3209.9147442796766,3211.913974993384,right,1,0.6536729570834723,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
K,left,Distractor,0,15,15,15,3213.413668786643,3215.4140104421476,left,1,0.584130181974615,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
J,left,Distractor,0,16,16,16,3216.9136426411733,3218.9133795824746,left,1,0.483459542696437,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
H,left,Lure,0,17,17,17,3220.412781765541,3222.4122527609143,left,1,0.42293486891139764,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
S,left,Distractor,0,18,18,18,3223.912072309062,3225.912221482593,left,1,0.5249217640975985,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
T,left,Pretarget,0,19,19,19,3227.411702262465,3229.411692959171,left,1,0.6196084595831053,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
T,right,Target,0,20,20,20,3230.911162510927,3232.910667511449,right,1,0.5223206910104636,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
X,left,Pretarget,0,21,21,21,3234.4103045225256,3236.411186731577,left,1,0.4239957653953752,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
X,right,Target,0,22,22,22,3237.90966949241,3239.9095488703715,right,1,0.6624777242213895,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
W,left,Distractor,0,23,23,23,3241.4092494005,3243.4089837753745,left,1,0.4792002373942523,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
K,left,Distractor,0,24,24,24,3244.9088376494747,3246.9085579090042,left,1,0.7653031992103934,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
F,left,Pretarget,0,25,25,25,3248.4084926255346,3250.4097168108947,left,1,0.5846258230612875,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
F,right,Target,0,26,26,26,3251.9077241412506,3253.9074052627784,right,1,0.5668546039287321,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
Z,left,Distractor,0,27,27,27,3255.40708077025,3257.406652177051,left,1,0.49391516356990905,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
F,left,Lure,0,28,28,28,3258.9065137504313,3260.9084109810974,left,1,0.8143713458503044,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
P,left,Distractor,0,29,29,29,3262.42300672885,3264.422543488896,left,1,0.4533210358749784,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
F,left,Lure,0,30,30,30,3265.921647004099,3267.921572577736,left,1,0.43352683118428104,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
R,left,Distractor,0,31,31,31,3269.4211553730547,3271.422777996102,left,1,0.538230609447055,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
V,left,Distractor,0,32,32,32,3272.9212376590986,3274.920279098864,left,1,0.41818280975530797,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
M,left,Pretarget,0,33,33,33,3276.4198541949045,3278.419841362773,left,1,0.4348899243705091,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
M,right,Target,0,34,34,34,3279.919671176627,3281.919287816694,right,1,0.6067185833326221,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
M,right,Target,0,35,35,35,3283.418811584208,3285.418778541469,right,1,0.5996018831137917,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
D,left,Distractor,0,36,36,36,3286.9188361256583,3288.9179571246405,left,1,0.5913225917702221,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
M,left,Lure,0,37,37,37,3290.4180304281927,3292.4196957180793,left,1,0.41427318004207336,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
F,left,Distractor,0,38,38,38,3293.9172693223845,3295.9185320041397,left,1,0.5007120229038264,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
T,left,Pretarget,0,39,39,39,3297.416555374659,3299.418724325713,left,1,0.5457329152195598,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
T,right,Target,0,40,40,40,3300.9163104413456,3302.9158183290965,right,1,0.4911623505249736,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
Z,left,Distractor,0,41,41,41,3304.4154469992864,3306.4166817711557,left,1,0.46990560363155964,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
S,left,Distractor,0,42,42,42,3307.91485078637,3309.9147375428074,left,1,0.4964209580775787,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
D,left,Distractor,0,43,43,43,3311.4152323818853,3313.41401076295,left,1,0.5540478157308826,0,3.0,E13T05,2022-12-08_12h08.05.040,t1_Paradigm,2021.1.4,60.34838247479602,
