Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
0,0,0,0,0,2495.362285,EDleftbutton,1,0,1,2,2,4,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
1,0,1,1,1,2503.032088,EDrightbutton,0,1,0.5,2,2,4,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
2,0,2,2,2,2506.910445,EDrightbutton,0,1,0.75,2,2,4,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
3,0,3,3,3,2509.199096,EDrightbutton,0,1,0.88,2,2,4,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
4,0,4,4,4,2513.186281,EDrightbutton,0,1,0.94,2,2,4,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
5,0,5,5,5,2514.940925,EDrightbutton,0,1,0.97,2,2,4,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
0,0,0,0,0,2516.375328,EDrightbutton,0,1,1,2,2,3,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
1,0,1,1,1,2522.194027,EDleftbutton,1,0,1.5,2,2,3,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
2,0,2,2,2,2524.056106,EDrightbutton,0,1,1.25,2,2,3,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
3,0,3,3,3,2525.810889,EDrightbutton,0,1,1.38,2,2,3,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
4,0,4,4,4,2529.039357,EDleftbutton,1,0,1.44,2,2,3,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
