Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate
D,left,Distractor,0,0,0,0,2624.941578,2626.933685,None,0,2,3,,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
M,left,Pretarget,0,1,1,1,2628.432505,2630.433332,None,0,2,3,,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
T,left,Distractor,0,2,2,2,2631.932087,2633.933651,None,0,2,3,,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
G,left,Pretarget,0,3,3,3,2635.432474,2637.433298,left,1,2,3,0.501662715,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
M,right,Target,0,4,4,4,2638.932279,2640.933273,right,1,2,3,0.729779385,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
P,left,Distractor,0,5,5,5,2642.432481,2644.433142,left,1,2,3,0.765970955,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
G,right,Target,0,6,6,6,2645.932012,2647.933487,right,1,2,3,0.625308691,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
J,left,Distractor,0,7,7,7,2649.432419,2651.43326,left,1,2,3,0.565807025,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
M,left,Lure,0,8,8,8,2652.932464,2654.933624,left,1,2,3,0.681742531,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
F,left,Pretarget,0,9,9,9,2656.432272,2658.43332,left,1,2,3,0.701587648,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
R,left,Distractor,0,10,10,10,2659.932396,2661.934416,left,1,2,3,0.656388606,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
G,left,Distractor,0,11,11,11,2663.432676,2665.434356,left,1,2,3,0.564505532,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
F,right,Target,0,12,12,12,2666.93239,2668.932926,right,1,2,3,0.537932882,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
F,left,Lure,0,13,13,13,2670.432511,2672.43234,left,1,2,3,0.590673652,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
S,left,Distractor,0,14,14,14,2673.932474,2675.933546,left,1,2,3,0.689291317,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
F,right,Target,0,15,15,15,2677.432382,2679.434834,right,1,2,3,0.54818731,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
T,left,Pretarget,0,16,16,16,2680.931939,2682.932673,left,1,2,3,0.586150026,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Z,left,Distractor,0,17,17,17,2684.432455,2686.434963,left,1,2,3,0.667884537,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
W,left,Distractor,0,18,18,18,2687.932353,2689.933517,left,1,2,3,0.481805408,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
T,right,Target,0,19,19,19,2691.43253,2693.4332,right,1,2,3,0.821706729,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
