Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
0,0,0,0,0,2600.645961808368,EDrightbutton,0,1,1.00,2.00,1,2,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
1,0,1,1,1,2619.7993846992867,EDrightbutton,0,1,1.50,2.00,1,2,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
2,0,2,2,2,2634.625281865792,EDrightbutton,0,1,1.75,2.00,1,2,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
3,0,3,3,3,2639.8580243329297,EDrightbutton,0,1,1.88,2.00,1,2,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
4,0,4,4,4,2645.3825816644876,EDleftbutton,1,0,1.94,2.00,1,2,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
5,0,5,5,5,2653.6942654807635,EDleftbutton,1,0,1.91,2.00,1,2,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
0,0,0,0,0,2658.0184599837994,EDrightbutton,0,1,1.00,2.00,3,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
1,0,1,1,1,2675.9679822274975,EDrightbutton,0,1,1.50,2.00,3,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
2,0,2,2,2,2679.272764602565,EDrightbutton,0,1,1.75,2.00,3,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
3,0,3,3,3,2682.2897360590923,EDleftbutton,1,0,1.88,2.00,3,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
4,0,4,4,4,2686.6420820133617,EDrightbutton,0,1,1.82,2.00,3,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
5,0,5,5,5,2688.6049009118833,EDleftbutton,1,0,1.85,2.00,3,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
0,0,0,0,0,2690.8645446598284,EDleftbutton,1,0,1.00,2.00,2,3,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
1,0,1,1,1,2695.473794701934,EDrightbutton,0,1,0.50,2.00,2,3,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
2,0,2,2,2,2701.6636024605614,EDrightbutton,0,1,0.75,2.00,2,3,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
3,0,3,3,3,2704.554158492866,EDrightbutton,0,1,0.88,2.00,2,3,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
4,0,4,4,4,2719.501505048642,EDleftbutton,1,0,0.94,2.00,2,3,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
5,0,5,5,5,2721.382329833904,EDleftbutton,1,0,0.91,2.00,2,3,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
0,0,0,0,0,2724.0098810621794,EDleftbutton,1,0,1.00,2.00,2,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
1,0,1,1,1,2733.424555887943,EDrightbutton,0,1,0.50,2.00,2,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
2,0,2,2,2,2736.9737589323668,EDleftbutton,1,0,0.75,2.00,2,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
3,0,3,3,3,2739.131508176474,EDrightbutton,0,1,0.62,2.00,2,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
4,0,4,4,4,2742.7714536399144,EDrightbutton,0,1,0.68,2.00,2,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
5,0,5,5,5,2746.4361346411415,EDrightbutton,0,1,0.71,2.00,2,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
0,0,0,0,0,2750.0062280751,EDleftbutton,1,0,1.00,2.00,1,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
1,0,1,1,1,2756.900920865848,EDleftbutton,1,0,0.50,2.00,1,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
2,0,2,2,2,2761.971674673382,EDrightbutton,0,1,0.25,2.00,1,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
3,0,3,3,3,2773.0168440976204,EDleftbutton,1,0,0.38,2.00,1,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
4,0,4,4,4,2774.6625688323556,EDrightbutton,0,1,0.32,2.00,1,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
5,0,5,5,5,2776.7815095398873,EDleftbutton,1,0,0.35,2.00,1,4,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
0,0,0,0,0,2778.6064372388455,EDleftbutton,1,0,1.00,2.00,1,3,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
1,0,1,1,1,2782.984215194848,EDleftbutton,1,0,0.50,2.00,1,3,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
2,0,2,2,2,2787.198433838331,EDrightbutton,0,1,0.25,2.00,1,3,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
3,0,3,3,3,2789.198991715255,EDleftbutton,1,0,0.38,2.00,1,3,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
4,0,4,4,4,2791.767112850578,EDrightbutton,0,1,0.32,2.00,1,3,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
5,0,5,5,5,2796.0622149863257,EDrightbutton,0,1,0.35,2.00,1,3,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
