Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,221.72624892731415,223.70971632968963,None,0,1,,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
Q,left,Pretarget,0,1,1,1,225.208064032337,227.21204905082345,left,1,1,0.968730661576501,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
Q,right,Target,0,2,2,2,228.70720764795055,230.7069644790556,left,0,1,0.6684420990159197,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
T,left,Distractor,0,3,3,3,232.20649177540577,234.2083396023645,None,0,1,,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
Q,left,Lure,0,4,4,4,235.70615477154797,237.70762918347555,left,1,1,1.3728725528721952,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
L,left,Distractor,0,5,5,5,239.2054379365934,241.2069508449158,left,1,1,0.9863549528017757,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
V,left,Pretarget,0,6,6,6,242.70508296775142,244.70704050943573,left,1,1,0.6602991490692602,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
V,right,Target,0,7,7,7,246.20417942528093,248.20400170025755,left,0,1,0.8632861485157264,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
K,left,Distractor,0,8,8,8,249.703548244805,251.70550097444016,left,1,1,0.6461350421454881,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
G,left,Pretarget,0,9,9,9,253.20306238822013,255.20518386038657,left,1,1,0.7319483185897298,F14A01,2022-12-08_09h14.56.457,t1_Paradigm,2021.1.4,60.03087073574671,
