Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
D,left,Distractor,0,0,0,0,2624.9415778313123,2626.933684504329,None,0,2,3.0,,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
M,left,Pretarget,0,1,1,1,2628.43250459549,2630.433331622393,None,0,2,3.0,,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
T,left,Distractor,0,2,2,2,2631.932086590823,2633.9336514617316,None,0,2,3.0,,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
G,left,Pretarget,0,3,3,3,2635.4324737985153,2637.4332979382016,left,1,2,3.0,0.5016627154545859,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
M,right,Target,0,4,4,4,2638.9322793926694,2640.9332729156595,right,1,2,3.0,0.729779384622816,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
P,left,Distractor,0,5,5,5,2642.4324805353535,2644.433141707763,left,1,2,3.0,0.7659709546132945,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
G,right,Target,0,6,6,6,2645.9320115231967,2647.9334865696437,right,1,2,3.0,0.6253086914657615,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
J,left,Distractor,0,7,7,7,2649.432418941433,2651.433260083606,left,1,2,3.0,0.5658070249191951,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
M,left,Lure,0,8,8,8,2652.932464495272,2654.9336238727847,left,1,2,3.0,0.6817425309272949,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
F,left,Pretarget,0,9,9,9,2656.4322723350197,2658.4333200735273,left,1,2,3.0,0.701587647839915,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
R,left,Distractor,0,10,10,10,2659.93239552289,2661.9344162530906,left,1,2,3.0,0.6563886064104736,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
G,left,Distractor,0,11,11,11,2663.432675903634,2665.4343562631693,left,1,2,3.0,0.5645055322383996,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
F,right,Target,0,12,12,12,2666.932390069269,2668.932926449779,right,1,2,3.0,0.5379328818526119,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
F,left,Lure,0,13,13,13,2670.4325106907345,2672.4323397034022,left,1,2,3.0,0.5906736516044475,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
S,left,Distractor,0,14,14,14,2673.932474119327,2675.9335462387535,left,1,2,3.0,0.6892913168412633,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
F,right,Target,0,15,15,15,2677.4323820492136,2679.434833616164,right,1,2,3.0,0.5481873097305652,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
T,left,Pretarget,0,16,16,16,2680.9319390220044,2682.932672695606,left,1,2,3.0,0.5861500261526089,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
Z,left,Distractor,0,17,17,17,2684.432455192029,2686.43496322009,left,1,2,3.0,0.6678845370479394,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
W,left,Distractor,0,18,18,18,2687.9323525354557,2689.9335173666186,left,1,2,3.0,0.48180540808243677,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
T,right,Target,0,19,19,19,2691.4325299388147,2693.433200414467,right,1,2,3.0,0.821706729446305,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
V,left,Distractor,0,20,20,20,2694.9319245859224,2696.9334724543733,left,1,2,3.0,0.6492437098640949,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
N,left,Distractor,0,21,21,21,2698.4324529464066,2700.434042519075,left,1,2,3.0,0.5888309663278051,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
P,left,Pretarget,0,22,22,22,2701.9320272424957,2703.9335962838377,left,1,2,3.0,0.6411912651965395,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
T,left,Lure,0,23,23,23,2705.4324754025147,2707.433207472117,left,1,2,3.0,1.109584273013752,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
L,left,Pretarget,0,24,24,24,2708.9323130768316,2710.9322899791296,left,1,2,3.0,0.8104183575778734,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
P,right,Target,0,25,25,25,2712.432002540765,2714.434783250297,right,1,2,3.0,0.4602205832779873,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
G,left,Pretarget,0,26,26,26,2715.9322598237486,2717.9331028907327,left,1,2,3.0,0.5937296090414748,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
L,right,Target,0,27,27,27,2719.4322819590743,2721.433588584594,left,0,2,3.0,0.8852899566700216,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
F,left,Distractor,0,28,28,28,2722.932403863728,2724.933510950563,left,1,2,3.0,0.682147382729454,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
G,right,Target,0,29,29,29,2726.432409958972,2728.432912013697,right,1,2,3.0,0.5900596370338462,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
R,left,Pretarget,0,30,30,30,2729.932120274985,2731.93349458967,left,1,2,3.0,0.6733048033784144,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
X,left,Distractor,0,31,31,31,2733.4324535880005,2735.4338182786305,left,1,2,3.0,0.7251855036010966,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
W,left,Distractor,0,32,32,32,2736.931857859163,2738.933426258911,left,1,2,3.0,0.5213050856837071,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
R,right,Target,0,33,33,33,2740.432261427777,2742.431623353099,right,1,2,3.0,0.559343832108425,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
S,left,Distractor,0,34,34,34,2743.9316862302367,2745.933134650113,left,1,2,3.0,0.8015289411414415,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
D,left,Distractor,0,35,35,35,2747.4323092272098,2749.4337348701956,left,1,2,3.0,0.4691221901739482,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
R,right,Target,0,36,36,36,2750.9322216483415,2752.933406048396,right,1,2,3.0,0.6173720562364906,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
T,left,Distractor,0,37,37,37,2754.4322392924514,2756.4330550913,left,1,2,3.0,0.637811618798878,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
G,left,Distractor,0,38,38,38,2757.9317359545093,2759.9315489270957,left,1,2,3.0,0.8191258794104215,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
K,left,Pretarget,0,39,39,39,2761.432250199694,2763.4331301588973,left,1,2,3.0,0.8217160327185411,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
R,left,Lure,0,40,40,40,2764.932119954203,2766.933618098352,left,1,2,3.0,0.8410340723348781,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
Q,left,Pretarget,0,41,41,41,2768.4322578989377,2770.4338282234967,left,1,2,3.0,0.8131714781629853,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
K,right,Target,0,42,42,42,2771.93168847583,2773.9334548102634,right,1,2,3.0,0.4333816674479749,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
Z,left,Distractor,0,43,43,43,2775.4324410767294,2777.433262008417,left,1,2,3.0,0.59771524995449,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
Q,right,Target,0,44,44,44,2778.9317458993464,2780.933381025854,right,1,2,3.0,0.6493486120598391,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
W,left,Distractor,0,45,45,45,2782.432080174767,2784.4342625890567,left,1,2,3.0,0.892509599972982,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
X,left,Distractor,0,46,46,46,2785.9316166162607,2787.9329687956197,left,1,2,3.0,0.7057850178971421,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
R,left,Distractor,0,47,47,47,2789.4323531770497,2791.4322838838852,left,1,2,3.0,0.5505166512157302,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
P,left,Pretarget,0,48,48,48,2792.931682701397,2794.93252737241,left,1,2,3.0,0.5222803229698911,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
Z,left,Pretarget,0,49,49,49,2796.432298961561,2798.4332661788503,left,1,2,3.0,0.717532136302907,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
V,left,Distractor,0,50,50,50,2799.9318354030547,2801.9332860685536,left,1,2,3.0,0.7373018648067955,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
P,right,Target,0,51,51,51,2803.4321770569077,2805.4342497570033,right,1,2,3.0,0.45253417341155,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
Z,right,Target,0,52,52,52,2806.932018260035,2808.9335731861065,right,1,2,3.0,1.0011536030797288,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
H,left,Distractor,0,53,53,53,2810.4322736182366,2812.438647948962,left,1,2,3.0,1.0160651099286042,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
L,left,Distractor,0,54,54,54,2813.9322505205055,2815.933327772771,left,1,2,3.0,0.6733054449723568,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
Z,right,Target,0,55,55,55,2817.432210741099,2819.4336052662984,right,1,2,3.0,0.757275302457856,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
Z,left,Lure,0,56,56,56,2820.931587102503,2822.93231468086,left,1,2,3.0,0.9222790397761855,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
B,left,Distractor,0,57,57,57,2824.4320679843077,2826.4334692463453,left,1,2,3.0,0.8776571206690278,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
J,left,Distractor,0,58,58,58,2827.931815834134,2829.9488507277274,left,1,2,3.0,0.8820614078722429,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
X,left,Pretarget,0,59,59,59,2831.432248274883,2833.4334753415897,left,1,2,3.0,0.7574058687314391,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
R,left,Distractor,0,60,60,60,2834.9321302198514,2836.934106358618,left,1,2,3.0,0.8884790468437131,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
F,left,Distractor,0,61,61,61,2838.432470911299,2840.4344970951497,left,1,2,3.0,0.8921968182839919,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
X,right,Target,0,62,62,62,2841.9320593226585,2843.9347960823798,right,1,2,3.0,0.8961449253838509,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
T,left,Distractor,0,63,63,63,2845.4321860393393,2847.43325013874,left,1,2,3.0,0.7736624972894788,F17E07,2022-09-02_11h59.41.925,t1_Paradigm,2021.1.4,59.98737589931132,
