Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,243.69360975340533,245.64992358497693,None,0,1,,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
Q,left,Pretarget,0,1,1,1,247.15149551455397,249.1501195949677,left,1,1,0.8502467608486768,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
Q,right,Target,0,2,2,2,250.64996368522407,252.6499861413613,right,1,1,0.6463877058558865,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
T,left,Distractor,0,3,3,3,254.14996528923803,256.15014108869946,left,1,1,0.5701962794701103,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
Q,left,Lure,0,4,4,4,257.6499996150378,259.65001565513376,left,1,1,0.4943628680630354,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
L,left,Distractor,0,5,5,5,261.14984755491605,263.1501731689059,left,1,1,0.5780453408660833,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
V,left,Pretarget,0,6,6,6,264.6501349934697,266.64985814137617,left,1,1,0.48647563124541193,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
V,right,Target,0,7,7,7,268.1498600661871,270.15016450724215,right,1,1,0.4420535431272583,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
K,left,Distractor,0,8,8,8,271.6500323368382,273.64998742456373,left,1,1,0.5742345344624482,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
G,left,Pretarget,0,9,9,9,275.1501308230363,277.149951173953,left,1,1,0.5945541301916819,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
G,right,Target,0,10,10,10,278.64998421655037,280.6498238155764,right,1,1,0.4863912603323115,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
G,right,Target,0,11,11,11,282.149935775451,284.14997074287385,right,1,1,0.4422960694064386,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
P,left,Pretarget,0,12,12,12,285.64988284313586,287.65009008119523,left,1,1,0.6221976345404983,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
P,right,Target,0,13,13,13,289.14985749978223,291.15009521401953,right,1,1,0.5625159599003382,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
G,left,Lure,0,14,14,14,292.64986744463386,294.6498244571703,left,1,1,0.518445149922627,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
Y,left,Distractor,0,15,15,15,296.1498899007711,298.1501898505958,left,1,1,0.49009171086072456,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
B,left,Distractor,0,16,16,16,299.6503114345396,301.6501032340748,left,1,1,0.6381017121893819,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
T,left,Pretarget,0,17,17,17,303.15004901854263,305.14988925917714,left,1,1,0.5785807593201753,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
T,right,Target,0,18,18,18,306.6501279358199,308.6500063518906,right,1,1,0.5825615907669999,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
S,left,Distractor,0,19,19,19,310.15021358995,312.1496938907803,left,1,1,0.5866232643020339,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
T,left,Lure,0,20,20,20,313.65008591076185,315.6500217503781,left,1,1,0.4464722692355281,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
