Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2778.5750817724183,2780.5685018035583,None,0,3,3.0,,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
P,left,Pretarget,0,1,1,1,2782.0662257136864,2784.0676616232377,None,0,3,3.0,,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
B,left,Distractor,0,2,2,2,2785.5662898740848,2787.5687109664286,None,0,3,3.0,,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
K,left,Pretarget,0,3,3,3,2789.0662780044076,2791.068631407543,None,0,3,3.0,,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
H,left,Distractor,0,4,4,4,2792.566400871554,2794.5674107561063,left,1,3,3.0,0.9530512757046381,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
P,right,Target,0,5,5,5,2796.066242074594,2798.0669645205926,right,1,3,3.0,0.8931495309225284,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
L,left,Distractor,0,6,6,6,2799.5664419342065,2801.5669173627102,left,1,3,3.0,0.7210363956255605,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
K,right,Target,0,7,7,7,2803.066230204917,2805.06823906675,right,1,3,3.0,0.8037471592979273,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
Z,left,Pretarget,0,8,8,8,2806.56628634526,2808.5682926406735,left,1,3,3.0,0.6479432745109079,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
S,left,Pretarget,0,9,9,9,2810.0663014229503,2812.068249011616,left,1,3,3.0,0.827948779478902,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
N,left,Distractor,0,10,10,10,2813.5662764004082,2815.5676972322544,left,1,3,3.0,0.5449145191087155,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
M,left,Distractor,0,11,11,11,2817.06620165355,2819.068491858692,left,1,3,3.0,0.5312592631526059,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
Z,right,Target,0,12,12,12,2820.566402154771,2822.567642054317,right,1,3,3.0,0.6163176555419341,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
S,right,Target,0,13,13,13,2824.066254265068,2826.068245803588,right,1,3,3.0,0.555591449723579,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
Q,left,Distractor,0,14,14,14,2827.566200370333,2829.5681970416917,left,1,3,3.0,0.6398372507537715,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
V,left,Lure,0,15,15,15,2831.0662536234595,2833.06758430996,left,1,3,3.0,0.5162550349923549,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
Z,right,Target,0,16,16,16,2834.5663046309783,2836.5677055731067,right,1,3,3.0,0.6804280011419905,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
X,left,Distractor,0,17,17,17,2838.066287949274,2840.0683131719998,left,1,3,3.0,0.5555510286794743,G13A01,2023-01-27_14h32.39.510,t1_Paradigm,2021.1.4,60.044881662699886,
