vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
0,0,0,0,0,2605.622866106947,VS1rightbutton,0,1,3,2,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
1,0,1,1,1,2612.461455990793,VS1rightbutton,0,1,3,1,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
2,0,2,2,2,2617.3056788325193,VS1rightbutton,0,1,4,3,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
3,0,3,3,3,2633.1720623381843,VS1leftbutton,1,0,1,3,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
4,0,4,4,4,2637.5394781838695,VS1rightbutton,0,1,4,2,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
5,0,5,5,5,2646.362634295627,VS1rightbutton,0,1,3,2,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
6,0,6,6,6,2650.299827729439,VS1rightbutton,0,1,4,2,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
7,0,7,7,7,2652.5897157375584,VS1leftbutton,1,0,3,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
8,0,8,8,8,2656.772896743525,VS1rightbutton,0,1,2,1,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
9,0,9,9,9,2658.804427705705,VS1leftbutton,1,0,1,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
10,0,10,10,10,2661.021073466807,VS1leftbutton,1,0,3,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
11,0,11,11,11,2677.458282940701,VS1leftbutton,1,0,1,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
12,0,12,12,12,2679.398239119182,VS1leftbutton,1,0,1,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
13,0,13,13,13,2681.3001648920763,VS1leftbutton,1,0,1,2,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
14,0,14,14,14,2683.4405955363472,VS1rightbutton,0,1,2,3,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
15,0,15,15,15,2689.8074714726827,VS1leftbutton,1,0,2,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
16,0,16,16,16,2693.740762674075,VS1rightbutton,0,1,3,1,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
17,0,17,17,17,2695.7752716388786,VS1leftbutton,1,0,1,2,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
