Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
0,0,0,0,0,2746.9113336049195,EDleftbutton,1,0,1.00,2.00,2,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
1,0,1,1,1,2750.946077075816,EDleftbutton,1,0,0.50,2.00,2,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
2,0,2,2,2,2754.2491198804055,EDrightbutton,0,1,0.25,2.00,2,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
3,0,3,3,3,2757.9553437551076,EDrightbutton,0,1,0.38,2.00,2,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
4,0,4,4,4,2761.4622044212883,EDrightbutton,0,1,0.44,2.00,2,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
5,0,5,5,5,2764.6579207555333,EDrightbutton,0,1,0.47,2.00,2,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
0,0,0,0,0,2768.2131297739106,EDleftbutton,1,0,1.00,2.00,1,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
1,0,1,1,1,2770.6415986834036,EDleftbutton,1,0,0.50,2.00,1,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
2,0,2,2,2,2773.440809511114,EDrightbutton,0,1,0.25,2.00,1,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
3,0,3,3,3,2775.691914191935,EDrightbutton,0,1,0.38,2.00,1,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
4,0,4,4,4,2778.2667248387006,EDrightbutton,0,1,0.44,2.00,1,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
5,0,5,5,5,2780.4565008869977,EDrightbutton,0,1,0.47,2.00,1,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
0,0,0,0,0,2782.4918699213013,EDleftbutton,1,0,1.00,2.00,2,3,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
1,0,1,1,1,2786.2834398929554,EDrightbutton,0,1,0.50,2.00,2,3,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
2,0,2,2,2,2789.781342491129,EDleftbutton,1,0,0.75,2.00,2,3,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
3,0,3,3,3,2792.0285548843385,EDrightbutton,0,1,0.62,2.00,2,3,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
4,0,4,4,4,2794.772471039614,EDrightbutton,0,1,0.68,2.00,2,3,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
5,0,5,5,5,2797.7917031043908,EDleftbutton,1,0,0.71,2.00,2,3,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
0,0,0,0,0,2800.489568810357,EDleftbutton,1,0,1.00,2.00,3,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
1,0,1,1,1,2803.330742752267,EDleftbutton,1,0,0.50,2.00,3,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
2,0,2,2,2,2805.5733850037795,EDrightbutton,0,1,0.25,2.00,3,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
3,0,3,3,3,2807.283777376404,EDrightbutton,0,1,0.38,2.00,3,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
4,0,4,4,4,2808.8558762859902,EDrightbutton,0,1,0.44,2.00,3,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
5,0,5,5,5,2810.787492902251,EDrightbutton,0,1,0.47,2.00,3,4,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
0,0,0,0,0,2812.474950837117,EDleftbutton,1,0,1.00,2.00,1,3,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
