Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
D,left,Distractor,0,0,0,0,2884.344397037057,2886.3477757210785,None,0,2,1.47,,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
M,left,Pretarget,0,1,1,1,2887.846245175926,2889.848249866045,left,1,2,1.47,0.9136151469720062,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
T,left,Distractor,0,2,2,2,2891.3461152512173,2893.348126357392,left,1,2,1.47,0.4693759443471208,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
G,left,Pretarget,0,3,3,3,2894.8461790907604,2896.847832502972,left,1,2,1.47,0.7458740083093289,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
M,right,Target,0,4,4,4,2898.3461306497047,2900.3478074804298,right,1,2,1.47,0.47806133088306524,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
P,left,Distractor,0,5,5,5,2901.846107872785,2903.848429835838,left,1,2,1.47,0.5772519480669871,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
G,right,Target,0,6,6,6,2905.3460437124304,2907.3486560010642,right,1,2,1.47,0.5809379601560067,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
J,left,Distractor,0,7,7,7,2908.846133536921,2910.8481606831774,left,1,2,1.47,0.6014429662609473,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
M,left,Lure,0,8,8,8,2912.3461017775408,2914.3480484025495,left,1,2,1.47,0.925303558644373,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
F,left,Pretarget,0,9,9,9,2915.846097286325,2917.84800284871,None,0,2,1.47,,G26N02,2022-09-02_14h41.38.487,t1_Paradigm,2021.1.4,59.96706534128246,
