Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
0,0,0,0,0,2428.2836865895247,EDrightbutton,0,1,2.00,1.00,2,3,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
1,0,1,1,1,2442.926868750381,EDrightbutton,0,1,2.00,0.50,2,3,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
2,0,2,2,2,2454.1664110946076,EDrightbutton,0,1,2.00,0.25,2,3,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
3,0,3,3,3,2460.9490172238457,EDleftbutton,1,0,2.00,0.12,2,3,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
4,0,4,4,4,2469.8605766732217,EDleftbutton,1,0,2.00,0.18,2,3,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
5,0,5,5,5,2472.3277538424027,EDrightbutton,0,1,2.00,0.21,2,3,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
0,0,0,0,0,2474.3321199541892,EDrightbutton,0,1,2.00,1.00,3,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
1,0,1,1,1,2479.515798844472,EDleftbutton,1,0,2.00,0.50,3,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
2,0,2,2,2,2482.6716622984163,EDrightbutton,0,1,2.00,0.75,3,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
3,0,3,3,3,2485.469723693455,EDleftbutton,1,0,2.00,0.62,3,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
4,0,4,4,4,2487.6464107096454,EDleftbutton,1,0,2.00,0.68,3,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
5,0,5,5,5,2490.354735835801,EDrightbutton,0,1,2.00,0.71,3,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
0,0,0,0,0,2491.8547284573606,EDrightbutton,0,1,2.00,1.00,1,3,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
1,0,1,1,1,2496.035075821493,EDrightbutton,0,1,2.00,0.50,1,3,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
2,0,2,2,2,2499.7531401679075,EDleftbutton,1,0,2.00,0.25,1,3,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
3,0,3,3,3,2501.140725461072,EDleftbutton,1,0,2.00,0.38,1,3,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
4,0,4,4,4,2503.5038653402585,EDleftbutton,1,0,2.00,0.44,1,3,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
5,0,5,5,5,2505.1009020945144,EDleftbutton,1,0,2.00,0.47,1,3,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
0,0,0,0,0,2506.214949682246,EDrightbutton,0,1,2.00,1.00,1,2,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
1,0,1,1,1,2509.8659420824524,EDrightbutton,0,1,2.00,0.50,1,2,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
2,0,2,2,2,2512.514533923181,EDleftbutton,1,0,2.00,0.25,1,2,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
3,0,3,3,3,2513.9506529919577,EDleftbutton,1,0,2.00,0.38,1,2,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
4,0,4,4,4,2515.417972597115,EDleftbutton,1,0,2.00,0.44,1,2,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
5,0,5,5,5,2516.4329716828297,EDleftbutton,1,0,2.00,0.47,1,2,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
0,0,0,0,0,2517.4494130932026,EDrightbutton,0,1,2.00,1.00,2,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
1,0,1,1,1,2520.833383271472,EDleftbutton,1,0,2.00,0.50,2,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
2,0,2,2,2,2522.8820726359318,EDleftbutton,1,0,2.00,0.75,2,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
3,0,3,3,3,2524.1373820652575,EDrightbutton,0,1,2.00,0.88,2,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
4,0,4,4,4,2525.7420782820423,EDrightbutton,0,1,2.00,0.82,2,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
5,0,5,5,5,2527.294679503014,EDleftbutton,1,0,2.00,0.79,2,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
0,0,0,0,0,2528.417373018648,EDrightbutton,0,1,2.00,1.00,1,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
1,0,1,1,1,2532.708302670033,EDleftbutton,1,0,2.00,0.50,1,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
2,0,2,2,2,2534.610519089308,EDleftbutton,1,0,2.00,0.75,1,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
3,0,3,3,3,2535.741962793413,EDleftbutton,1,0,2.00,0.88,1,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
4,0,4,4,4,2537.153523525996,EDrightbutton,0,1,2.00,0.94,1,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
5,0,5,5,5,2538.5684661506034,EDrightbutton,0,1,2.00,0.91,1,4,G27R09,2022-08-31_12h04.48.162,t1_Paradigm,2021.1.4,60.0516293093241,
