Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
0,0,0,0,0,2355.880834379408,EDleftbutton,1,0,1.00,2.00,1,3,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
1,0,1,1,1,2360.2337623841304,EDleftbutton,1,0,0.50,2.00,1,3,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
2,0,2,2,2,2364.464913122094,EDrightbutton,0,1,0.25,2.00,1,3,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
3,0,3,3,3,2368.654585169774,EDrightbutton,0,1,0.38,2.00,1,3,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
4,0,4,4,4,2371.1029045059986,EDrightbutton,0,1,0.44,2.00,1,3,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
5,0,5,5,5,2373.3302049826016,EDrightbutton,0,1,0.47,2.00,1,3,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
0,0,0,0,0,2375.5774577175325,EDrightbutton,0,1,1.00,2.00,3,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
1,0,1,1,1,2379.4128948145953,EDrightbutton,0,1,1.50,2.00,3,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
2,0,2,2,2,2382.7134359107295,EDrightbutton,0,1,1.75,2.00,3,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
3,0,3,3,3,2384.148065036745,EDrightbutton,0,1,1.88,2.00,3,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
4,0,4,4,4,2385.2690730211907,EDrightbutton,0,1,1.94,2.00,3,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
5,0,5,5,5,2386.3257275540673,EDleftbutton,1,0,1.97,2.00,3,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
0,0,0,0,0,2388.6792099040176,EDleftbutton,1,0,2.00,1.00,1,2,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
1,0,1,1,1,2391.803094837611,EDleftbutton,1,0,2.00,1.50,1,2,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
2,0,2,2,2,2393.8560967229714,EDleftbutton,1,0,2.00,1.75,1,2,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
3,0,3,3,3,2395.899271170725,EDleftbutton,1,0,2.00,1.88,1,2,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
4,0,4,4,4,2397.146176156675,EDleftbutton,1,0,2.00,1.94,1,2,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
5,0,5,5,5,2398.364362337743,EDleftbutton,1,0,2.00,1.97,1,2,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
0,0,0,0,0,2399.5972037003667,EDrightbutton,0,1,1.00,2.00,2,3,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
1,0,1,1,1,2404.378617800423,EDrightbutton,0,1,1.50,2.00,2,3,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
2,0,2,2,2,2407.0987289517943,EDrightbutton,0,1,1.75,2.00,2,3,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
3,0,3,3,3,2408.4126436268853,EDrightbutton,0,1,1.88,2.00,2,3,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
4,0,4,4,4,2409.360136417672,EDrightbutton,0,1,1.94,2.00,2,3,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
5,0,5,5,5,2410.841332148062,EDrightbutton,0,1,1.97,2.00,2,3,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
0,0,0,0,0,2411.919501564058,EDrightbutton,0,1,1.00,2.00,1,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
1,0,1,1,1,2415.2294864190044,EDleftbutton,1,0,1.50,2.00,1,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
2,0,2,2,2,2417.564004258951,EDleftbutton,1,0,1.25,2.00,1,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
3,0,3,3,3,2419.3469190690957,EDrightbutton,0,1,1.12,2.00,1,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
4,0,4,4,4,2421.1534147249768,EDrightbutton,0,1,1.18,2.00,1,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
5,0,5,5,5,2422.8396886812407,EDrightbutton,0,1,1.21,2.00,1,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
0,0,0,0,0,2425.209865869605,EDrightbutton,0,1,1.00,2.00,2,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
1,0,1,1,1,2429.3815566643025,EDrightbutton,0,1,1.50,2.00,2,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
2,0,2,2,2,2431.247077898006,EDleftbutton,1,0,1.75,2.00,2,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
3,0,3,3,3,2432.944116674247,EDleftbutton,1,0,1.62,2.00,2,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
4,0,4,4,4,2435.1423345569638,EDrightbutton,0,1,1.56,2.00,2,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
5,0,5,5,5,2436.778046003572,EDrightbutton,0,1,1.59,2.00,2,4,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
