Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,32.90014022239484,34.839442305587,None,0,1,,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
Q,left,Pretarget,0,1,1,1,36.34310120873852,38.34236368574784,left,1,1,0.5101304347335827,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
Q,right,Target,0,2,2,2,39.839409904612694,41.839429152722005,right,1,1,0.6769604429136962,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
T,left,Distractor,0,3,3,3,43.33925479699974,45.34161140589276,left,1,1,0.5347997604403645,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
Q,left,Lure,0,4,4,4,46.839330666611204,48.84097766224295,left,1,1,0.5074812547536567,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
L,left,Distractor,0,5,5,5,50.33943893716787,52.34207688909373,left,1,1,0.5104194770101458,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
V,left,Pretarget,0,6,6,6,53.839413754234556,55.842163345136214,left,1,1,0.49808080415823497,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
V,right,Target,0,7,7,7,57.33940396978869,59.33936354875914,right,1,1,0.3771950451482553,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
K,left,Distractor,0,8,8,8,60.83937205001712,62.84105465465109,left,1,1,1.0033013697247952,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
G,left,Pretarget,0,9,9,9,64.3393526415166,66.34113341144985,left,1,1,0.4953212684195023,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
G,right,Target,0,10,10,10,67.8394320399093,69.83942145347828,right,1,1,0.5331800329149701,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
G,right,Target,0,11,11,11,71.33910466183443,73.33929040600196,right,1,1,0.5209635854989756,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
P,left,Pretarget,0,12,12,12,74.83951448593871,76.84205491415923,left,1,1,0.6183907242084388,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
P,right,Target,0,13,13,13,78.33931286211009,80.33933243100182,right,1,1,0.5290817919012625,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
G,left,Lure,0,14,14,14,81.8393261753663,83.8412782533851,left,1,1,0.5311785514350049,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
Y,left,Distractor,0,15,15,15,85.33915534851258,87.34083859474049,left,1,1,0.5514589898521081,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
B,left,Distractor,0,16,16,16,88.8390704964695,90.84114062949084,left,1,1,0.49122463140520267,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
T,left,Pretarget,0,17,17,17,92.33937381443684,94.33982967355405,left,1,1,0.5126230635214597,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
T,right,Target,0,18,18,18,95.83924276696052,97.83916224574205,right,1,1,0.437084862642223,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
