Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,2452.6944608142367,2454.688201332523,None,0,0,1.47,,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
F,left,Distractor,0,1,1,1,2456.1861756305443,2458.18783577907,left,1,0,1.47,0.48579795079422183,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
G,left,Distractor,0,2,2,2,2459.6863146980468,2461.6880370820872,left,1,0,1.47,0.48970114439725876,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
V,left,Distractor,0,3,3,3,2463.186157024058,2465.1876452228753,left,1,0,1.47,0.5099248008918948,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
H,left,Distractor,0,4,4,4,2466.686313414859,2468.687833693839,left,1,0,1.47,0.48194287743535824,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
C,left,Pretarget,0,5,5,5,2470.1862843823037,2472.1881488814543,left,1,0,1.47,0.5494501299399417,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
C,right,Target,0,6,6,6,2473.686296412372,2475.686235139263,right,1,0,1.47,0.3953126388369128,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
C,right,Target,0,7,7,7,2477.186067520379,2479.186220221978,right,1,0,1.47,0.4635817952803336,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
W,left,Distractor,0,8,8,8,2480.686358327075,2482.687259779719,left,1,0,1.47,0.46630026842467487,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
R,left,Pretarget,0,9,9,9,2484.185927009268,2486.186655549798,left,1,0,1.47,0.7109875525929965,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
R,right,Target,0,10,10,10,2487.6862377056677,2489.686237384856,right,1,0,1.47,0.6513322411337867,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
Z,left,Distractor,0,11,11,11,2491.1861923122196,2493.188372801,left,1,0,1.47,0.42943887622095644,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
R,left,Lure,0,12,12,12,2494.6860147485277,2496.6886796477775,left,1,0,1.47,0.6089360581245273,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
H,left,Pretarget,0,13,13,13,2498.1862449237087,2500.1874001304386,left,1,0,1.47,0.6623245094669983,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
H,right,Target,0,14,14,14,2501.686268823425,2503.6861607132596,right,1,0,1.47,0.4113366809906438,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
K,left,Distractor,0,15,15,15,2505.186184613005,2507.1883272471896,left,1,0,1.47,0.47744876716751605,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
J,left,Distractor,0,16,16,16,2508.686102327367,2510.6867654243833,left,1,0,1.47,0.5792923821427394,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
H,left,Lure,0,17,17,17,2512.1858984579158,2514.1882528211863,left,1,0,1.47,0.7572824379603844,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
S,left,Distractor,0,18,18,18,2515.686162958882,2517.68794629522,left,1,0,1.47,0.698023958131671,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
T,left,Pretarget,0,19,19,19,2519.1862564725743,2521.1869054542913,left,1,0,1.47,0.479115010908572,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
T,right,Target,0,20,20,20,2522.6859371145256,2524.686180602963,left,0,0,1.47,0.531573458283674,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
X,left,Pretarget,0,21,21,21,2526.186198407464,2528.1868332739105,left,1,0,1.47,0.550699652347248,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
X,right,Target,0,22,22,22,2529.685965665878,2531.685889956687,right,1,0,1.47,0.7317677999380976,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
W,left,Distractor,0,23,23,23,2533.1861935954366,2535.1877064959845,left,1,0,1.47,0.653655807429459,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
K,left,Distractor,0,24,24,24,2536.685844723659,2538.68793570876,left,1,0,1.47,0.8335434049367905,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
F,left,Pretarget,0,25,25,25,2540.1859693550796,2542.1880465457507,left,1,0,1.47,0.6937441433838103,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
F,right,Target,0,26,26,26,2543.686344532616,2545.686226798396,right,1,0,1.47,0.6032668514817487,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
Z,left,Distractor,0,27,27,27,2547.185821786319,2549.1882576332137,left,1,0,1.47,0.4613810959854163,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
F,left,Lure,0,28,28,28,2550.6861568636377,2552.686801995762,left,1,0,1.47,0.9309070249437355,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
P,left,Distractor,0,29,29,29,2554.1860697660013,2556.1885101041116,left,1,0,1.47,0.5329413565050345,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
F,left,Lure,0,30,30,30,2557.6858482524694,2559.6879418040044,left,1,0,1.47,0.8417507942358498,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
R,left,Distractor,0,31,31,31,2561.18614322957,2563.186279249465,left,1,0,1.47,0.8152994154079352,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
V,left,Distractor,0,32,32,32,2564.685700683709,2566.6876492328884,left,1,0,1.47,0.6261021541722585,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
M,left,Pretarget,0,33,33,33,2568.1860534051084,2570.186470126442,left,1,0,1.47,0.9029767505417112,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
M,right,Target,0,34,34,34,2571.686096552934,2573.685963741067,right,1,0,1.47,0.7156378932122607,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
M,right,Target,0,35,35,35,2575.1858448840503,2577.1859626182413,right,1,0,1.47,0.4798470802779775,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
D,left,Distractor,0,36,36,36,2578.68590631758,2580.688059859007,left,1,0,1.47,0.6575987804390024,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
M,left,Lure,0,37,37,37,2582.186100562947,2584.18740558406,left,1,0,1.47,0.8861619323142804,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
F,left,Distractor,0,38,38,38,2585.6860192397435,2587.7023098680656,left,1,0,1.47,0.603150721261045,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
T,left,Pretarget,0,39,39,39,2589.1859706382966,2591.186772642395,left,1,0,1.47,0.590836429328192,H09R12,2022-11-23_09h23.56.424,t1_Paradigm,2021.1.4,60.0007891805334,
