vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
0,0,0,0,0,2523.6690356821637,VS1leftbutton,1,0,3,1,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
1,0,1,1,1,2537.995959499385,VS1leftbutton,1,0,3,1,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
2,0,2,2,2,2549.772726572759,VS1rightbutton,0,1,4,1,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
3,0,3,3,3,2559.6487038959167,VS1leftbutton,1,0,2,4,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
4,0,4,4,4,2565.949567045667,VS1leftbutton,1,0,2,1,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
5,0,5,5,5,2571.9668839351507,VS1leftbutton,1,0,3,4,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
6,0,6,6,6,2581.0927579600248,VS1rightbutton,0,1,4,3,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
7,0,7,7,7,2587.722624044458,VS1leftbutton,1,0,3,4,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
8,0,8,8,8,2596.063744631363,VS1leftbutton,1,0,3,2,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
9,0,9,9,9,2605.5046355882077,VS1leftbutton,1,0,3,2,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
10,0,10,10,10,2618.672687049955,VS1rightbutton,0,1,4,1,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
11,0,11,11,11,2624.9328994593816,VS1rightbutton,0,1,4,2,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
12,0,12,12,12,2630.3218958881916,VS1leftbutton,1,0,3,2,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
13,0,13,13,13,2634.357546930085,VS1leftbutton,1,0,2,1,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
14,0,14,14,14,2637.472470380366,VS1leftbutton,1,0,3,1,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
15,0,15,15,15,2646.9165478629875,VS1rightbutton,0,1,4,2,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
16,0,16,16,16,2651.06376355869,VS1rightbutton,0,1,1,4,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
17,0,17,17,17,2657.408394681348,VS1leftbutton,1,0,2,1,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
