Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2897.4401101248804,2899.431651218969,left,1,0.5293909125612117,1,1.41,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
T,left,Pretarget,0,1,1,1,2900.9299490437843,2902.931446547329,left,1,0.6136819466482848,1,1.41,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
B,left,Distractor,0,2,2,2,2904.4301197104505,2906.429014547728,left,1,0.8440427718451247,1,1.41,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
T,right,Target,0,3,3,3,2907.9297511089826,2909.932237003348,right,1,0.7486738047446124,1,1.41,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
Z,left,Distractor,0,4,4,4,2911.430076722987,2913.431838246528,left,1,0.6572025812929496,1,1.41,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
T,right,Target,0,5,5,5,2914.9299541766522,2916.932169634907,right,1,0.6129524430143647,1,1.41,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
L,left,Distractor,0,6,6,6,2918.4298957907013,2920.4315979658277,left,1,0.5852361166616902,1,1.41,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
T,right,Target,0,7,7,7,2921.9300606828765,2923.9313458155375,right,1,0.685530676972121,1,1.41,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
Z,left,Lure,0,8,8,8,2925.430000692897,2927.431106818083,left,1,0.753835828974843,1,1.41,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
J,left,Distractor,0,9,9,9,2928.9299397405703,2930.9313031488564,left,1,0.9016267225961201,1,1.41,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
D,left,Pretarget,0,10,10,10,2932.4299464774085,2934.4426813525497,left,1,0.63823484495515,1,1.41,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
H,left,Distractor,0,11,11,11,2935.930003900954,2937.932109965768,left,1,0.636839035723824,1,1.41,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
D,right,Target,0,12,12,12,2939.4299852944096,2941.4319277502364,right,1,0.5292282659793273,1,1.41,H10R02,2022-10-19_10h08.45.135,t1_Paradigm,2021.1.4,60.01332265386145,
