vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
0,0,0,0,0,2532.6114455647767,VS1leftbutton,1,0,1,4,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
1,0,1,1,1,2540.215208248701,VS1leftbutton,1,0,1,2,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
2,0,2,2,2,2548.6162752350792,VS1leftbutton,1,0,1,4,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
3,0,3,3,3,2552.15262046922,VS1leftbutton,1,0,1,4,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
4,0,4,4,4,2556.0658487291075,VS1rightbutton,0,1,3,4,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
5,0,5,5,5,2561.0555545222014,VS1rightbutton,0,1,3,2,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
6,0,6,6,6,2565.452905982733,VS1rightbutton,0,1,4,2,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
7,0,7,7,7,2568.8403283087537,VS1rightbutton,0,1,4,2,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
8,0,8,8,8,2571.3233681619167,VS1leftbutton,1,0,2,4,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
9,0,9,9,9,2573.970670700539,VS1rightbutton,0,1,4,3,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
10,0,10,10,10,2576.3511845604517,VS1rightbutton,0,1,2,1,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
11,0,11,11,11,2578.8889246406034,VS1leftbutton,1,0,2,3,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
12,0,12,12,12,2581.555945579428,VS1rightbutton,0,1,3,1,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
13,0,13,13,13,2583.8199795330875,VS1leftbutton,1,0,1,2,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
14,0,14,14,14,2586.93694385048,VS1rightbutton,0,1,3,1,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
15,0,15,15,15,2589.1535010701045,VS1rightbutton,0,1,3,1,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
16,0,16,16,16,2591.0212444541976,VS1rightbutton,0,1,4,3,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
17,0,17,17,17,2593.2387797986157,VS1rightbutton,0,1,3,2,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
