Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
0,0,0,0,0,2621.126215918921,EDrightbutton,0,1,1.00,2.00,1,2,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
1,0,1,1,1,2629.7505647717044,EDrightbutton,0,1,1.50,2.00,1,2,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
2,0,2,2,2,2634.326443046797,EDleftbutton,1,0,1.75,2.00,1,2,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
3,0,3,3,3,2637.667998421937,EDrightbutton,0,1,1.62,2.00,1,2,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
4,0,4,4,4,2640.7478924929164,EDrightbutton,0,1,1.68,2.00,1,2,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
5,0,5,5,5,2643.507638610434,EDleftbutton,1,0,1.71,2.00,1,2,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
0,0,0,0,0,2645.9743297649547,EDrightbutton,0,1,1.00,2.00,1,3,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
1,0,1,1,1,2649.8718098672107,EDrightbutton,0,1,1.50,2.00,1,3,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
2,0,2,2,2,2652.2368148877285,EDleftbutton,1,0,1.75,2.00,1,3,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
3,0,3,3,3,2654.3221837617457,EDrightbutton,0,1,1.62,2.00,1,3,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
4,0,4,4,4,2656.2889162995853,EDrightbutton,0,1,1.68,2.00,1,3,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
5,0,5,5,5,2657.955308146309,EDleftbutton,1,0,1.71,2.00,1,3,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
0,0,0,0,0,2659.3553075045347,EDrightbutton,0,1,1.00,2.00,2,3,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
1,0,1,1,1,2663.374145945534,EDrightbutton,0,1,1.50,2.00,2,3,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
2,0,2,2,2,2665.5363006428815,EDleftbutton,1,0,1.75,2.00,2,3,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
3,0,3,3,3,2666.9854529239237,EDrightbutton,0,1,1.62,2.00,2,3,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
