Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2727.026594144292,2729.0296468934976,None,0,1,2.71,,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
T,left,Pretarget,0,1,1,1,2730.529690843541,2732.531283944845,None,0,1,2.71,,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
B,left,Distractor,0,2,2,2,2734.0295009287074,2736.0308935292996,left,1,1,2.71,0.5882875281386077,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
T,right,Target,0,3,3,3,2737.5298701715656,2739.5299426726997,right,1,1,2.71,0.7695039445534348,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
Z,left,Distractor,0,4,4,4,2741.0294261821546,2743.0300244772807,left,1,1,2.71,0.5815368969924748,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
T,right,Target,0,5,5,5,2744.5295201768167,2746.5311103914864,right,1,1,2.71,0.6162437964230776,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
L,left,Distractor,0,6,6,6,2748.0295230643824,2750.0311739100143,left,1,1,2.71,0.7005350971594453,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
T,right,Target,0,7,7,7,2751.5296943723224,2753.531466481276,right,1,1,2.71,0.5597746684215963,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
Z,left,Lure,0,8,8,8,2755.0292661022395,2757.03114632098,left,1,1,2.71,0.8202056977897882,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
J,left,Distractor,0,9,9,9,2758.5298563772812,2760.5316284862347,left,1,1,2.71,0.7119684712961316,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
D,left,Pretarget,0,10,10,10,2762.0295686181635,2764.0302163166925,left,1,1,2.71,0.8610517806373537,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
H,left,Distractor,0,11,11,11,2765.5300690690055,2767.530114301946,left,1,1,2.71,0.8331384998746216,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
D,right,Target,0,12,12,12,2769.029347585514,2771.031523263082,right,1,1,2.71,0.7878643907606602,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
S,left,Distractor,0,13,13,13,2772.5296225128695,2774.531546360813,left,1,1,2.71,0.5677799554541707,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
R,left,Pretarget,0,14,14,14,2776.02954423707,2778.030177820474,left,1,1,2.71,0.6531414510682225,H12S02,2023-01-09_09h21.46.005,t1_Paradigm,2021.1.4,59.9865678786285,
