Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,182.2362140084042,184.18497131707954,None,0,1,,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Q,left,Pretarget,0,1,1,1,185.6835597875779,187.68697536816762,left,1,1,0.4763058733096841,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Q,right,Target,0,2,2,2,189.18364897057836,191.18362458961383,left,0,1,0.5475839426962921,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
T,left,Distractor,0,3,3,3,192.68360694549483,194.68557314192913,left,1,1,0.5655366731407412,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Q,left,Lure,0,4,4,4,196.18367399314593,198.1857017835955,left,1,1,1.2575492768155527,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
L,left,Distractor,0,5,5,5,199.68266410794786,201.685321312234,left,1,1,0.925922610969792,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,left,Pretarget,0,6,6,6,203.18369163726493,205.18607776372664,left,1,1,0.529178239603425,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,right,Target,0,7,7,7,206.68341863462774,208.68355497554512,right,1,1,0.423549637396718,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
K,left,Distractor,0,8,8,8,210.18354118105162,212.18562864070373,left,1,1,0.4095985930889583,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
G,left,Pretarget,0,9,9,9,213.68352514094477,215.68542332732068,left,1,1,0.47788806955941254,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
G,right,Target,0,10,10,10,217.18366757710282,219.18361817357072,right,1,1,0.3714982038291055,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
G,right,Target,0,11,11,11,220.68365442421418,222.68346322612706,right,1,1,0.3917344040419266,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
P,left,Pretarget,0,12,12,12,224.18360309586933,226.1861922900971,left,1,1,0.3930577129503945,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
P,right,Target,0,13,13,13,227.68364159212797,229.68346932136774,right,1,1,0.36758345507769263,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
G,left,Lure,0,14,14,14,231.1837673465743,233.1845170612214,left,1,1,0.4025531360657624,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Y,left,Distractor,0,15,15,15,234.68379012352852,236.68508263542753,left,1,1,0.3741643905759702,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
B,left,Distractor,0,16,16,16,238.1835091008361,240.1854335929911,left,1,1,0.409612387582456,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
T,left,Pretarget,0,17,17,17,241.68371377261428,243.6850101341406,left,1,1,0.44626756311663485,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
T,right,Target,0,18,18,18,245.2003008482643,247.18367559715625,right,1,1,0.37145714115285955,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
S,left,Distractor,0,19,19,19,248.68358737656308,250.68669081665394,left,1,1,0.5163647597546515,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
T,left,Lure,0,20,20,20,252.18357679009205,254.18530110169922,left,1,1,0.5857815350118472,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
J,left,Distractor,0,21,21,21,255.68350236399056,257.6859872975183,left,1,1,0.4132852515067498,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
P,left,Distractor,0,22,22,22,259.1837140934167,261.1854489914949,left,1,1,0.4176642009806528,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
F,left,Distractor,0,23,23,23,262.68378787791335,264.6854573323508,left,1,1,0.38974510985281086,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
L,left,Distractor,0,24,24,24,266.1836775219708,268.18592762831577,left,1,1,0.39322003884262813,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
W,left,Pretarget,0,25,25,25,269.68340997296946,271.68565045525065,left,1,1,0.41353611879458185,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
W,right,Target,0,26,26,26,273.1836217023938,275.1836024542645,right,1,1,0.3875482566636492,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,left,Distractor,0,27,27,27,276.6836229856035,278.6857672272363,left,1,1,0.43737492725813354,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
W,left,Lure,0,28,28,28,280.1835790357072,282.1854980742246,left,1,1,0.48977571437717415,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
R,left,Pretarget,0,29,29,29,283.68354631388684,285.6865352276054,left,1,1,0.3646118646756804,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
R,right,Target,0,30,30,30,287.1832980130148,289.1834885694989,left,0,1,0.41986458299106744,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
G,left,Distractor,0,31,31,31,290.6835610707858,292.6849578433885,left,1,1,0.39036137080074695,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
R,left,Lure,0,32,32,32,294.1836104743179,296.185232450036,left,1,1,0.42600505712653103,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
S,left,Distractor,0,33,33,33,297.68358224372787,299.68576305680836,left,1,1,0.39779146961336664,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
R,left,Lure,0,34,34,34,301.1836986949129,303.18561260059505,left,1,1,0.5935196038990398,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
P,left,Pretarget,0,35,35,35,304.6836473665662,306.685121131688,left,1,1,0.48600757221356616,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
P,right,Target,0,36,36,36,308.1836887500449,310.18357069485137,right,1,1,0.4118538322709355,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Y,left,Pretarget,0,37,37,37,311.68356684522587,313.6859821646831,left,1,1,0.41321210861315194,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Y,right,Target,0,38,38,38,315.1836531410063,317.18364768736865,right,1,1,0.3554860056465259,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
J,left,Distractor,0,39,39,39,318.6836922788698,320.68379044433095,left,1,1,0.45535268027015263,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Y,left,Lure,0,40,40,40,322.1836999781208,324.18548010930317,left,1,1,0.3618969160015695,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
T,left,Distractor,0,41,41,41,325.6836053414845,327.68480738717517,left,1,1,0.4785107465504552,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,left,Distractor,0,42,42,42,329.18364640416075,331.18465308133636,left,1,1,0.4025079029615881,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
N,left,Pretarget,0,43,43,43,332.68369067485764,334.68586058066467,left,1,1,0.4692556042537035,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
N,right,Target,0,44,44,44,336.18368457961697,338.1835796773121,right,1,1,0.39553687203806476,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
N,right,Target,0,45,45,45,339.6836977325056,341.6837035069457,right,1,1,0.3834381393990043,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
X,left,Distractor,0,46,46,46,343.18369035405703,345.18555710182227,left,1,1,0.4177091132823989,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Z,left,Distractor,0,47,47,47,346.68353508581095,348.68565655049133,right,0,1,0.5654616054362123,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
H,left,Pretarget,0,48,48,48,350.183563316401,352.1851679688025,left,1,1,0.4100701722654776,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
H,right,Target,0,49,49,49,353.6836977325056,355.6835671660265,right,1,1,0.415685493262572,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
K,left,Distractor,0,50,50,50,357.1836024542645,359.1853299738923,left,1,1,0.7219315754664422,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,left,Pretarget,0,51,51,51,360.6835597875779,362.68549743261974,left,1,1,0.6140814183054317,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,right,Target,0,52,52,52,364.1834664341495,366.1836178527683,right,1,1,0.3797562930158165,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
R,left,Distractor,0,53,53,53,367.6836900332546,369.6854390466269,left,1,1,0.41391274053057714,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,left,Lure,0,54,54,54,371.18364640416075,373.1852950064567,left,1,1,0.46584964772591775,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Y,left,Distractor,0,55,55,55,374.68367174753075,376.68600397923,left,1,1,0.5171439881996776,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Q,left,Distractor,0,56,56,56,378.1829592459344,380.1859632373562,left,1,1,0.3935337833554513,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Z,left,Pretarget,0,57,57,57,381.68346675495195,383.6860848213746,left,1,1,0.4452557531058119,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Z,right,Target,0,58,58,58,385.18370190293354,387.18367655956354,right,1,1,0.49978410014773544,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
B,left,Distractor,0,59,59,59,388.6836053414845,390.6850354775106,left,1,1,0.4221435615327209,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
S,left,Pretarget,0,60,60,60,392.1836242688114,394.1857280893728,left,1,1,0.4414969142035261,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
S,right,Target,0,61,61,61,395.6836403089201,397.6837378327764,right,1,1,0.38341407923689985,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
T,left,Distractor,0,62,62,62,399.1835610707858,401.1856546256786,left,1,1,0.38553297749967896,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
D,left,Distractor,0,63,63,63,402.68342890029635,404.6853803398317,left,1,1,0.4219013559031737,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
R,left,Distractor,0,0,0,0,418.82743891445716,420.81601354555096,None,0,1,,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,left,Distractor,0,1,1,1,422.31706032299553,424.31874196791614,left,1,1,0.420497846454964,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
N,left,Pretarget,0,2,2,2,425.81707187187385,427.8187464591465,left,1,1,0.5363959673886711,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
N,right,Target,0,3,3,3,429.3167815459201,431.31688997704987,right,1,1,0.3985216153287183,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
S,left,Distractor,0,4,4,4,432.81673438800317,434.8177070601505,left,1,1,0.40132414299296215,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
N,left,Lure,0,5,5,5,436.3171203130005,438.31778469427263,left,1,1,0.5173592464489047,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Z,left,Distractor,0,6,6,6,439.81706417262285,441.81843239383124,left,1,1,0.42472313169673725,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
L,left,Pretarget,0,7,7,7,443.3170677014459,445.3331078094143,left,1,1,0.4619653751815349,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
L,right,Target,0,8,8,8,446.8169133956071,448.81677737549217,right,1,1,0.38634781498512893,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
H,left,Distractor,0,9,9,9,450.3169589495137,452.3187342686633,left,1,1,0.40453922223423433,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
L,left,Lure,0,10,10,10,453.8170093154531,455.816092462881,left,1,1,0.6993333089521911,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
X,left,Pretarget,0,11,11,11,457.31688708982983,459.3190528252089,left,1,1,0.46029014630403253,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
X,right,Target,0,12,12,12,460.8170715510714,462.8170128442762,right,1,1,0.417986927954189,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
X,right,Target,0,13,13,13,464.31708823278495,466.31675459853795,right,1,1,0.4064977194175299,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
R,left,Distractor,0,14,14,14,467.817106518507,469.8184179577347,left,1,1,0.4247606655480922,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
T,left,Distractor,0,15,15,15,471.3169611951289,473.31765091977104,left,1,1,0.44570038489837316,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,left,Pretarget,0,16,16,16,474.8170179771114,476.8184673612668,left,1,1,0.44859851160617836,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,right,Target,0,17,17,17,478.3167943780063,480.3166628491217,right,1,1,0.35865488937815826,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
N,left,Distractor,0,18,18,18,481.81701348588103,483.8190611660648,left,1,1,0.4238938581147522,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
B,left,Distractor,0,19,19,19,485.317109405727,487.3180801530616,left,1,1,0.46145145012269495,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,left,Lure,0,20,20,20,488.8166952501397,490.81939447950754,left,1,1,0.5758828635825921,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
P,left,Distractor,0,21,21,21,492.3171052352991,494.3186566345412,left,1,1,0.38862839753528533,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
K,left,Pretarget,0,22,22,22,495.81674208725417,497.81877148171407,left,1,1,0.39248796831634536,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
K,right,Target,0,23,23,23,499.3168915810602,501.31683062864977,right,1,1,0.39860085346299456,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
J,left,Pretarget,0,24,24,24,502.81703658363585,504.81886098551695,left,1,1,0.40014070382676437,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
J,right,Target,0,25,25,25,506.31669107971175,508.3171219170108,right,1,1,0.3902025737315853,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
H,left,Distractor,0,26,26,26,509.81706032299553,511.8189107098515,left,1,1,0.4403356103866827,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
J,left,Lure,0,27,27,27,513.3169990497845,515.3185815668367,left,1,1,0.39679987013914797,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,left,Distractor,0,28,28,28,516.8169878217086,518.8184064088564,left,1,1,0.43269378214972676,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Z,left,Pretarget,0,29,29,29,520.3169425886044,522.318643802455,left,1,1,0.40454660068280646,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Z,right,Target,0,30,30,30,523.8168633504702,525.8169573455034,right,1,1,0.3622267006212496,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
T,left,Distractor,0,31,31,31,527.317149505996,529.3185000830872,left,1,1,0.3809435818075144,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Z,left,Lure,0,32,32,32,530.8170786087194,532.8176736967253,right,0,1,0.48208608661843755,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
F,left,Distractor,0,33,33,33,534.3170946488281,536.3169772352376,left,1,1,0.5664888139490358,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Y,left,Pretarget,0,34,34,34,537.8170869495752,539.8180477520436,left,1,1,0.45716296685532143,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Y,right,Target,0,35,35,35,541.3169249444854,543.316992954542,right,1,1,0.7021903729837504,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Y,right,Target,0,36,36,36,544.8169502878554,546.8170721926763,right,1,1,0.4500392341033148,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
W,left,Distractor,0,37,37,37,548.3170779671145,550.3167209143121,left,1,1,0.4065836943973409,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Q,left,Distractor,0,38,38,38,551.8166670195496,553.8190181785758,left,1,1,0.48827468107447203,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
P,left,Pretarget,0,39,39,39,555.3167991900391,557.3173028494293,left,1,1,0.41410169300070265,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
P,right,Target,0,40,40,40,558.8167254055425,560.8168793905788,right,1,1,0.4181454042209225,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
J,left,Distractor,0,41,41,41,562.3171286538563,564.3171222378132,left,1,1,0.4062025814309891,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
P,left,Lure,0,42,42,42,565.8169432302075,567.8192420984815,left,1,1,0.3918986547469103,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
L,left,Distractor,0,43,43,43,569.3170583981828,571.3186890355591,left,1,1,0.42865584536775714,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Z,left,Distractor,0,44,44,44,572.8167629393938,574.819208735058,left,1,1,0.4319540123688057,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
F,left,Pretarget,0,45,45,45,576.3170064282331,578.3184246945802,left,1,1,0.43692580423521576,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
F,right,Target,0,46,46,46,579.8167122526538,581.8171549596336,right,1,1,0.37813399649712665,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
G,left,Pretarget,0,47,47,47,583.3170593605901,585.3171610548743,left,1,1,0.43034454793451005,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
G,right,Target,0,48,48,48,586.8160985581217,588.8169708191945,right,1,1,0.35431860659082304,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,left,Distractor,0,49,49,49,590.3168508391864,592.318494308649,left,1,1,0.3888330693134776,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
G,left,Lure,0,50,50,50,593.8170792503242,595.8297929607015,left,1,1,0.3654247773483803,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Q,left,Pretarget,0,51,51,51,597.3170080322452,599.3174895562861,left,1,1,0.5099390925024636,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Q,right,Target,0,52,52,52,600.8171132553525,602.8171366739098,right,1,1,0.4661069310586754,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
Y,left,Distractor,0,53,53,53,604.3170285635824,606.3179524738007,left,1,1,0.4693720554369065,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
V,left,Distractor,0,54,54,54,607.8168142677405,609.8185084239431,left,1,1,0.47278924003876455,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
B,left,Distractor,0,55,55,55,611.3167507489125,613.3187499879696,left,1,1,0.49249707909621065,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
J,left,Pretarget,0,56,56,56,614.816970498392,616.8188295469045,left,1,1,0.40032965629870887,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
J,right,Target,0,57,57,57,618.3171190297908,620.3169008843233,right,1,1,0.4064402958319988,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
H,left,Distractor,0,58,58,58,621.816967611172,623.8191673515794,left,1,1,0.4880536483851756,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
J,left,Lure,0,59,59,59,625.3166811348437,627.3194400334141,left,1,1,0.8604266797028686,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
D,left,Pretarget,0,60,60,60,628.8168133053332,630.8188606647145,left,1,1,0.41631266148397117,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
D,right,Target,0,61,61,61,632.317038187648,634.3169996913875,right,1,1,0.37440435059033916,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
R,left,Distractor,0,62,62,62,635.8170972152438,637.8185081031424,left,1,1,0.44083862817205954,H12S10,2023-01-13_13h35.09.603,t1_Paradigm,2021.1.4,59.972872408365404,
