Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
0,0,0,0,0,2644.691121292652,EDrightbutton,0,1,1.00,2.00,1,3,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
1,0,1,1,1,2650.0045893927477,EDleftbutton,1,0,1.50,2.00,1,3,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
2,0,2,2,2,2653.5023511575178,EDrightbutton,0,1,1.25,2.00,1,3,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
3,0,3,3,3,2657.2138222012914,EDrightbutton,0,1,1.38,2.00,1,3,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
4,0,4,4,4,2659.0794911952694,EDrightbutton,0,1,1.44,2.00,1,3,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
5,0,5,5,5,2660.5916037146303,EDrightbutton,0,1,1.47,2.00,1,3,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
0,0,0,0,0,2663.118125374536,EDleftbutton,1,0,1.00,2.00,2,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
1,0,1,1,1,2666.908976936906,EDrightbutton,0,1,0.50,2.00,2,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
2,0,2,2,2,2673.9553947339714,EDrightbutton,0,1,0.75,2.00,2,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
3,0,3,3,3,2676.0837585028553,EDrightbutton,0,1,0.88,2.00,2,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
4,0,4,4,4,2677.670108764694,EDrightbutton,0,1,0.94,2.00,2,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
5,0,5,5,5,2678.87700998464,EDrightbutton,0,1,0.97,2.00,2,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
0,0,0,0,0,2680.416670730158,EDrightbutton,0,1,1.00,2.00,1,2,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
1,0,1,1,1,2684.484197937372,EDrightbutton,0,1,1.50,2.00,1,2,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
2,0,2,2,2,2687.1210302362256,EDrightbutton,0,1,1.75,2.00,1,2,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
3,0,3,3,3,2692.519584959264,EDrightbutton,0,1,1.88,2.00,1,2,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
4,0,4,4,4,2694.2545752774618,EDrightbutton,0,1,1.94,2.00,1,2,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
5,0,5,5,5,2695.7204737089965,EDrightbutton,0,1,1.97,2.00,1,2,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
0,0,0,0,0,2697.149591234151,EDrightbutton,0,1,1.00,2.00,2,3,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
1,0,1,1,1,2701.268676448132,EDrightbutton,0,1,1.50,2.00,2,3,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
2,0,2,2,2,2703.6334253821074,EDrightbutton,0,1,1.75,2.00,2,3,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
3,0,3,3,3,2704.9443504851165,EDrightbutton,0,1,1.88,2.00,2,3,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
4,0,4,4,4,2706.3187369513803,EDrightbutton,0,1,1.94,2.00,2,3,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
5,0,5,5,5,2707.566508661011,EDrightbutton,0,1,1.97,2.00,2,3,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
0,0,0,0,0,2708.717437639308,EDleftbutton,1,0,1.00,2.00,3,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
1,0,1,1,1,2711.097787172285,EDrightbutton,0,1,0.50,2.00,3,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
2,0,2,2,2,2715.823738253836,EDrightbutton,0,1,0.75,2.00,3,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
3,0,3,3,3,2717.4157965448344,EDrightbutton,0,1,0.88,2.00,3,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
4,0,4,4,4,2719.6991099028996,EDrightbutton,0,1,0.94,2.00,3,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
5,0,5,5,5,2725.686168431291,EDrightbutton,0,1,0.97,2.00,3,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
0,0,0,0,0,2727.268389009582,EDleftbutton,1,0,1.00,2.00,1,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
1,0,1,1,1,2729.936342947554,EDrightbutton,0,1,0.50,2.00,1,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
2,0,2,2,2,2733.2338466592323,EDrightbutton,0,1,0.75,2.00,1,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
3,0,3,3,3,2734.917871812672,EDrightbutton,0,1,0.88,2.00,1,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
4,0,4,4,4,2737.0502815357945,EDrightbutton,0,1,0.94,2.00,1,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
5,0,5,5,5,2738.217380857362,EDrightbutton,0,1,0.97,2.00,1,4,H15G01,2022-11-14_09h17.04.677,t1_Paradigm,2021.1.4,60.016211293551095,
