Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,271.9556950045953,273.89974778550095,right,0,1,0.15108681285346393,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
Q,left,Pretarget,0,1,1,1,275.39826022685156,277.40238124874304,left,1,1,0.7287260184530169,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
Q,right,Target,0,2,2,2,278.89872057765024,280.8986108633835,right,1,1,0.9604319662466878,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
T,left,Distractor,0,3,3,3,282.39906993097975,284.4001218405756,left,1,1,0.6108133356028702,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
Q,left,Lure,0,4,4,4,285.8987802468182,287.9005058405164,left,1,1,0.9183876622118987,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
L,left,Distractor,0,5,5,5,289.3987651691132,291.40117535419995,left,1,1,1.0816761773749022,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
V,left,Pretarget,0,6,6,6,292.89881617663195,294.90117407098296,left,1,1,0.5097010510799009,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
V,right,Target,0,7,7,7,296.39874656261236,298.3986018809228,right,1,1,0.5324179998133332,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
K,left,Distractor,0,8,8,8,299.8984713145328,301.9010775095958,left,1,1,0.48576441330078524,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
G,left,Pretarget,0,9,9,9,303.398888357071,305.4003415899206,left,1,1,0.6025552517239703,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
G,right,Target,0,10,10,10,306.8988174598344,308.8987061415537,right,1,1,0.7203405761829345,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
G,right,Target,0,11,11,11,310.3989265325072,312.3988649385283,right,1,1,0.4199910303868819,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
P,left,Pretarget,0,12,12,12,313.89887648739386,315.90023059243686,left,1,1,0.5026325008220738,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
P,right,Target,0,13,13,13,317.39893198612845,319.39882900871453,left,0,1,0.6041573366674129,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
G,left,Lure,0,14,14,14,320.8985258508619,322.90134922885045,left,1,1,1.1175617255066754,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
Y,left,Distractor,0,15,15,15,324.39864133956144,326.40020781550265,left,1,1,0.9467269859887892,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
B,left,Distractor,0,16,16,16,327.8987244272721,329.9005122565577,left,1,1,0.8864444492937764,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
T,left,Pretarget,0,17,17,17,331.3987497706257,333.3989740111865,left,1,1,0.6199071085866308,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
T,right,Target,0,18,18,18,334.898770622749,336.89876581072167,right,1,1,0.46431238666991703,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
S,left,Distractor,0,19,19,19,338.39874624180084,340.4016478954727,left,1,1,0.6413145437545609,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
T,left,Lure,0,20,20,20,341.8987712643575,343.9007547828369,left,1,1,0.8701759406249039,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
J,left,Distractor,0,21,21,21,345.39851847241516,347.40013242705027,left,1,1,0.5866951239440823,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
P,left,Distractor,0,22,22,22,348.89864743480575,350.90087989559106,left,1,1,0.7179669625329552,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
F,left,Distractor,0,23,23,23,352.39885659767606,354.4002953944437,left,1,1,0.5950892278488027,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
L,left,Distractor,0,24,24,24,355.8988206678623,357.8999919157941,left,1,1,0.5189703027281212,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
W,left,Pretarget,0,25,25,25,359.3987568282755,361.4000955348165,left,1,1,0.41091329749906436,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
W,right,Target,0,26,26,26,362.89879917413054,364.8987783219927,left,0,1,0.46428158969501965,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
V,left,Distractor,0,27,27,27,366.39847227693826,368.39880559017183,left,1,1,0.7242149013763992,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
W,left,Lure,0,28,28,28,369.8988642969198,371.90067426154565,left,1,1,0.6784274801466381,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
R,left,Pretarget,0,29,29,29,373.3987337305298,375.4015555045189,left,1,1,0.5694010114239063,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
R,right,Target,0,30,30,30,376.89882900871453,378.89864679319726,right,1,1,0.4963800707628252,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
G,left,Distractor,0,31,31,31,380.39865898367134,382.4002450285334,left,1,1,0.6426724984194152,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
R,left,Lure,0,32,32,32,383.89874688340933,385.9007243066444,left,1,1,0.7903004246036289,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
S,left,Distractor,0,33,33,33,387.39873180571885,389.4008561562514,left,1,1,0.5380743798450567,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
R,left,Lure,0,34,34,34,390.89851333959086,392.8996027830144,left,1,1,0.5913993637950625,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
P,left,Pretarget,0,35,35,35,394.3987093495816,396.3995774396608,left,1,1,0.5475357918767259,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
P,right,Target,0,36,36,36,397.89856659271754,399.89854124934936,right,1,1,0.4723420595837524,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
Y,left,Pretarget,0,37,37,37,401.39882612149813,403.3990442668146,left,1,1,0.5077765601599822,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
Y,right,Target,0,38,38,38,404.898900868342,406.89880206134694,right,1,1,0.5761638373951428,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
J,left,Distractor,0,39,39,39,408.39885659767606,410.40063095328514,left,1,1,0.818260239684605,H17K06,2022-11-15_10h58.36.995,t1_Paradigm,2021.1.4,60.04742632174145,
