vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
0,0,0,0,0,2756.8490155531326,VS1rightbutton,0,1,4,1,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
1,0,1,1,1,2780.887203570397,VS1rightbutton,0,1,3,4,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
2,0,2,2,2,2807.121050679765,VS1leftbutton,1,0,4,3,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
3,0,3,3,3,2812.1450540905353,VS1rightbutton,0,1,3,2,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
4,0,4,4,4,2817.9663471686654,VS1leftbutton,1,0,2,4,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
5,0,5,5,5,2828.331490108685,VS1leftbutton,1,0,1,4,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
6,0,6,6,6,2835.2147548650973,VS1leftbutton,1,0,1,2,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
7,0,7,7,7,2842.828991377435,VS1rightbutton,0,1,3,1,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
8,0,8,8,8,2848.401912368252,VS1leftbutton,1,0,2,1,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
9,0,9,9,9,2853.266423327208,VS1leftbutton,1,0,4,3,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
10,0,10,10,10,2856.670209503325,VS1leftbutton,1,0,2,1,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
11,0,11,11,11,2861.8917025056435,VS1rightbutton,0,1,4,1,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
12,0,12,12,12,2872.6013482690323,VS1rightbutton,0,1,4,2,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
13,0,13,13,13,2877.2802181585575,VS1rightbutton,0,1,3,2,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
14,0,14,14,14,2882.181122244394,VS1rightbutton,0,1,3,2,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
15,0,15,15,15,2884.8131350688054,VS1rightbutton,0,1,3,1,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
16,0,16,16,16,2887.351065160765,VS1leftbutton,1,0,1,3,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
17,0,17,17,17,2889.449634958757,VS1rightbutton,0,1,2,4,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
