Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
0,0,0,0,0,2912.8270120255766,EDleftbutton,1,0,2.00,1.00,3,4,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
1,0,1,1,1,2926.0101216419134,EDrightbutton,0,1,2.00,1.50,3,4,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
2,0,2,2,2,2928.5523751901346,EDleftbutton,1,0,2.00,1.25,3,4,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
3,0,3,3,3,2933.9527316659805,EDleftbutton,1,0,2.00,1.38,3,4,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
4,0,4,4,4,2937.6560005158535,EDrightbutton,0,1,2.00,1.44,3,4,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
5,0,5,5,5,2939.6516324680415,EDleftbutton,1,0,2.00,1.41,3,4,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
0,0,0,0,0,2942.3684058229555,EDrightbutton,0,1,1.00,2.00,1,3,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
1,0,1,1,1,2945.0529734869488,EDrightbutton,0,1,1.50,2.00,1,3,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
2,0,2,2,2,2949.2088806492393,EDrightbutton,0,1,1.75,2.00,1,3,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
3,0,3,3,3,2951.037311905413,EDleftbutton,1,0,1.88,2.00,1,3,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
4,0,4,4,4,2953.8603921747417,EDrightbutton,0,1,1.82,2.00,1,3,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
5,0,5,5,5,2955.7952269068337,EDleftbutton,1,0,1.85,2.00,1,3,H17N05,2022-11-03_09h13.00.421,t1_Paradigm,2021.1.4,60.011820679107274,
