vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
0,0,0,0,0,2351.9829856376164,VS1leftbutton,1,0,2,3,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
1,0,1,1,1,2355.313304931624,VS1rightbutton,0,1,4,1,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
2,0,2,2,2,2359.167933619581,VS1leftbutton,1,0,2,3,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
3,0,3,3,3,2363.6245111781172,VS1rightbutton,0,1,3,2,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
4,0,4,4,4,2366.3341130954213,VS1leftbutton,1,0,2,4,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
5,0,5,5,5,2369.1368649327196,VS1leftbutton,1,0,1,3,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
6,0,6,6,6,2372.02044501598,VS1rightbutton,0,1,4,2,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
7,0,7,7,7,2374.915881611174,VS1leftbutton,1,0,3,4,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
8,0,8,8,8,2381.148348672781,VS1rightbutton,0,1,2,1,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
9,0,9,9,9,2385.249264241196,VS1leftbutton,1,0,2,4,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
10,0,10,10,10,2387.5962135768496,VS1rightbutton,0,1,3,1,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
11,0,11,11,11,2390.3828457680065,VS1leftbutton,1,0,1,4,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
12,0,12,12,12,2393.0346019971184,VS1leftbutton,1,0,1,3,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
13,0,13,13,13,2395.01605580654,VS1rightbutton,0,1,4,3,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
14,0,14,14,14,2398.1826173572335,VS1rightbutton,0,1,4,1,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
15,0,15,15,15,2402.415890914388,VS1rightbutton,0,1,2,1,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
16,0,16,16,16,2405.624594265828,VS1leftbutton,1,0,1,2,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
17,0,17,17,17,2408.0992695342284,VS1leftbutton,1,0,3,4,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
