Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2537.699712882284,2539.692441269057,None,0,3,3.0,,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
P,left,Pretarget,0,1,1,1,2541.191615846241,2543.19344313303,None,0,3,3.0,,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
B,left,Distractor,0,2,2,2,2544.6915192848537,2546.692245580023,None,0,3,3.0,,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
K,left,Pretarget,0,3,3,3,2548.191585049266,2550.19254809618,None,0,3,3.0,,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
H,left,Distractor,0,4,4,4,2551.6914535204414,2553.692255204078,left,1,3,3.0,0.36910101724788547,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
P,right,Target,0,5,5,5,2555.1913229541387,2557.1940558643546,right,1,3,3.0,0.6112781062256545,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
L,left,Distractor,0,6,6,6,2558.691684818594,2560.693020957755,left,1,3,3.0,0.7441856286022812,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
K,right,Target,0,7,7,7,2562.191676156828,2564.191641831072,right,1,3,3.0,0.6375171230174601,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
Z,left,Pretarget,0,8,8,8,2565.6916617208626,2567.692394752754,left,1,3,3.0,0.881005649222061,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
S,left,Pretarget,0,9,9,9,2569.191402513068,2571.1917281267233,left,1,3,3.0,0.5976174054667354,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
N,left,Distractor,0,10,10,10,2572.69161680853,2574.69336036616,left,1,3,3.0,0.5357360315974802,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
M,left,Distractor,0,11,11,11,2576.19142593164,2578.1933648572303,left,1,3,3.0,0.6037716660648584,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
Z,right,Target,0,12,12,12,2579.6914618613664,2581.6921355449595,left,0,3,3.0,0.9131615331862122,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
S,right,Target,0,13,13,13,2583.1916562672704,2585.1928576696664,right,1,3,3.0,0.5322591820731759,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
Q,left,Distractor,0,14,14,14,2586.691617771052,2588.6919616705272,left,1,3,3.0,0.9051321863662452,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
V,left,Lure,0,15,15,15,2590.1916931595188,2592.1934020703193,left,1,3,3.0,0.8597089045215398,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
Z,right,Target,0,16,16,16,2593.69130113977,2595.6937267216854,right,1,3,3.0,0.43156143836677074,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
X,left,Distractor,0,17,17,17,2597.191739354981,2599.1927460308652,left,1,3,3.0,0.4683214691467583,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
V,left,Pretarget,0,18,18,18,2600.6913511848543,2602.693745648954,left,1,3,3.0,0.7754198492038995,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
E,left,Distractor,0,19,19,19,2604.1911137914285,2606.1929981808644,left,1,3,3.0,0.4922632242087275,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
R,left,Distractor,0,20,20,20,2607.6914644278586,2609.691539495485,left,1,3,3.0,0.8498067168984562,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
G,left,Distractor,0,21,21,21,2611.191530192038,2613.1922619410325,left,1,3,3.0,0.7409958969801664,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
V,right,Target,0,22,22,22,2614.6914904126897,2616.693629198009,left,0,3,3.0,0.631394300609827,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
T,left,Pretarget,0,23,23,23,2618.191309801303,2620.1916238663252,left,1,3,3.0,0.7816652178298682,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
B,left,Distractor,0,24,24,24,2621.6913787736557,2623.692730311537,left,1,3,3.0,0.9605080217588693,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
S,left,Pretarget,0,25,25,25,2625.1913694704417,2627.1935348822735,left,1,3,3.0,0.5957381487824023,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
G,left,Lure,0,26,26,26,2628.6916052596644,2630.693085759878,left,1,3,3.0,0.5520163993351161,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
T,right,Target,0,27,27,27,2632.1915138312615,2634.1919167581946,right,1,3,3.0,0.7011837584432214,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
H,left,Distractor,0,28,28,28,2635.691527304938,2637.6936455587856,left,1,3,3.0,0.6075991517864168,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
S,right,Target,0,29,29,29,2639.1915808788035,2641.193553167861,right,1,3,3.0,0.5797176302876323,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
D,left,Distractor,0,30,30,30,2642.691466994118,2644.693117519142,left,1,3,3.0,0.4880145259667188,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
Z,left,Distractor,0,31,31,31,2646.191590823699,2648.193243273534,left,1,3,3.0,0.699829975143075,H18I08,2023-01-05_09h14.06.423,t1_Paradigm,2021.1.4,60.04792755890366,
