Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,H24B02,2023-01-09_16h16.57.673,t1_Paradigm,2021.1.4,60.00019250499381,
0,0,0,0,0,2183.4094065488316,EDleftbutton,1,0,1.00,2.00,1,3,H24B02,2023-01-09_16h16.57.673,t1_Paradigm,2021.1.4,60.00019250499381,
1,0,1,1,1,2191.7045788033865,EDrightbutton,0,1,0.50,2.00,1,3,H24B02,2023-01-09_16h16.57.673,t1_Paradigm,2021.1.4,60.00019250499381,
2,0,2,2,2,2194.6961776469834,EDrightbutton,0,1,0.75,2.00,1,3,H24B02,2023-01-09_16h16.57.673,t1_Paradigm,2021.1.4,60.00019250499381,
3,0,3,3,3,2196.8912061825395,EDrightbutton,0,1,0.88,2.00,1,3,H24B02,2023-01-09_16h16.57.673,t1_Paradigm,2021.1.4,60.00019250499381,
4,0,4,4,4,2198.961152191274,EDrightbutton,0,1,0.94,2.00,1,3,H24B02,2023-01-09_16h16.57.673,t1_Paradigm,2021.1.4,60.00019250499381,
5,0,5,5,5,2200.5393761689775,EDrightbutton,0,1,0.97,2.00,1,3,H24B02,2023-01-09_16h16.57.673,t1_Paradigm,2021.1.4,60.00019250499381,
0,0,0,0,0,2201.888180059381,EDrightbutton,0,1,1.00,2.00,2,3,H24B02,2023-01-09_16h16.57.673,t1_Paradigm,2021.1.4,60.00019250499381,
1,0,1,1,1,2204.855277349241,EDrightbutton,0,1,1.50,2.00,2,3,H24B02,2023-01-09_16h16.57.673,t1_Paradigm,2021.1.4,60.00019250499381,
2,0,2,2,2,2206.220066470094,EDrightbutton,0,1,1.75,2.00,2,3,H24B02,2023-01-09_16h16.57.673,t1_Paradigm,2021.1.4,60.00019250499381,
