Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,227.37197146913968,229.32046222424833,None,0,1,,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
Q,left,Pretarget,0,1,1,1,230.81864744762424,232.81998904136708,left,1,1,0.5380961943883449,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
Q,right,Target,0,2,2,2,234.3185293924762,236.3190548660932,right,1,1,1.15092544950312,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
T,left,Distractor,0,3,3,3,237.81871481600683,239.8202960488852,left,1,1,0.6096760926884599,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
Q,left,Lure,0,4,4,4,241.31900129216956,243.32033229945228,right,0,1,0.6298635179991834,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
L,left,Distractor,0,5,5,5,244.81893777340883,246.81861344259232,left,1,1,1.4034758250345476,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
V,left,Pretarget,0,6,6,6,248.31863846519263,250.31996337726014,left,1,1,1.0540888133691624,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
V,right,Target,0,7,7,7,251.8188611016958,253.81892814935418,right,1,1,0.5312624711659737,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
K,left,Distractor,0,8,8,8,255.31869909673696,257.31971411412815,left,1,1,0.6943033272400498,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
G,left,Pretarget,0,9,9,9,258.81848063057987,260.8194494525087,left,1,1,0.6185844421270303,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
G,right,Target,0,10,10,10,262.31847998901503,264.318813943828,right,1,1,0.671163561521098,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
G,right,Target,0,11,11,11,265.81830418953905,267.8189737031935,right,1,1,0.7710824628011324,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
P,left,Pretarget,0,12,12,12,269.3188973523211,271.319162976346,left,1,1,0.6790732544614002,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
P,right,Target,0,13,13,13,272.81857687118463,274.8189781944384,right,1,1,0.6829953791457228,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
G,left,Lure,0,14,14,14,276.3186365403817,278.3185935529182,left,1,1,0.6394702533725649,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
