Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
D,left,Distractor,0,0,0,0,3056.033376876847,3058.034188505786,left,1,0.4754766154801473,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
M,left,Pretarget,0,1,1,1,3059.5343193929875,3061.5350960544893,left,1,0.6865027068997733,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
T,left,Distractor,0,2,2,2,3063.034414029564,3065.0340746211004,left,1,0.41947935125790536,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
G,left,Pretarget,0,3,3,3,3066.534249458171,3068.5349087061477,left,1,0.5024576637661085,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
M,right,Target,0,4,4,4,3070.0344676034874,3072.034757929272,right,1,0.7629100329941139,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
P,left,Distractor,0,5,5,5,3073.534436485672,3075.534528876655,left,1,0.7833188116783276,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
G,right,Target,0,6,6,6,3077.034662971855,3079.0340204055537,right,1,0.7395848437445238,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
J,left,Distractor,0,7,7,7,3080.53476979892,3082.5361511721276,left,1,0.6934451819979586,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
M,left,Lure,0,8,8,8,3084.034639232501,3086.0348089367617,right,0,0.6188035498489626,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
F,left,Pretarget,0,9,9,9,3087.534678691183,3089.5352208464756,left,1,0.5102560384548269,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
R,left,Distractor,0,10,10,10,3091.034346661123,3093.035879132047,left,1,0.5936247669160366,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
G,left,Distractor,0,11,11,11,3094.5343036736595,3096.535835182178,left,1,0.9819366043666378,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
F,right,Target,0,12,12,12,3098.0344275032403,3100.035719051899,right,1,0.9857409947435372,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
F,left,Lure,0,13,13,13,3101.5344454681617,3103.534811823978,left,1,0.9588873048196547,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
S,left,Distractor,0,14,14,14,3105.034450921754,3107.035626019351,left,1,0.6260026664822362,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
F,right,Target,0,15,15,15,3108.534287633607,3110.5349603552604,right,1,1.0148181630647741,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
T,left,Pretarget,0,16,16,16,3112.034568335279,3114.0341580295935,left,1,0.49147404643008485,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
Z,left,Distractor,0,17,17,17,3115.534474661108,3117.534243683738,left,1,0.8793758990941569,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
W,left,Distractor,0,18,18,18,3119.0344862099737,3121.0340996436425,left,1,0.6114385786349885,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
T,right,Target,0,19,19,19,3122.5343902902096,3124.534619663609,right,1,0.8389949531410821,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
V,left,Distractor,0,20,20,20,3126.0344480345375,3128.0338718742714,left,1,0.4758031918318011,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
N,left,Distractor,0,21,21,21,3129.534287633607,3131.534447072132,left,1,0.5912588525097817,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
P,left,Pretarget,0,22,22,22,3133.0344355232664,3135.036057497957,left,1,0.6255612430395558,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
T,left,Lure,0,23,23,23,3136.5345641648746,3138.5352667211555,right,0,0.662501587998122,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
L,left,Pretarget,0,24,24,24,3140.0347242450225,3142.0346947312355,left,1,0.44302204420091584,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
P,right,Target,0,25,25,25,3143.5347957838676,3145.536144114507,left,0,0.41360546747455373,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
G,left,Pretarget,0,26,26,26,3147.034297257662,3149.0346604054794,left,1,0.7389214253635146,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
L,right,Target,0,27,27,27,3150.53410445567,3152.534235022089,left,0,0.8713048427016474,2,1.47,H25N04,2022-10-20_10h44.59.930,t1_Paradigm,2021.1.4,60.002117357428375,
