vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
0,0,0,0,0,2478.0700426378025,VS1leftbutton,1,0,1,4,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
1,0,1,1,1,2482.1827272473456,VS1rightbutton,0,1,4,3,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
2,0,2,2,2,2486.8837939462683,VS1leftbutton,1,0,1,4,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
3,0,3,3,3,2490.643822138358,VS1leftbutton,1,0,1,2,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
4,0,4,4,4,2492.4997464059707,VS1leftbutton,1,0,2,4,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
5,0,5,5,5,2494.8875402726844,VS1leftbutton,1,0,3,2,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
6,0,6,6,6,2498.6170425450837,VS1leftbutton,1,0,3,4,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
7,0,7,7,7,2500.8201404022257,VS1rightbutton,0,1,3,1,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
8,0,8,8,8,2503.7867134695407,VS1rightbutton,0,1,4,2,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
9,0,9,9,9,2506.916537891375,VS1rightbutton,0,1,4,2,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
10,0,10,10,10,2509.000498847192,VS1leftbutton,1,0,1,3,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
11,0,11,11,11,2511.1708954259084,VS1rightbutton,0,1,2,1,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
12,0,12,12,12,2513.4253613915353,VS1rightbutton,0,1,3,1,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
13,0,13,13,13,2515.39303673472,VS1rightbutton,0,1,4,1,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
14,0,14,14,14,2517.0063419358485,VS1rightbutton,0,1,2,1,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
15,0,15,15,15,2518.453147661654,VS1leftbutton,1,0,3,2,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
16,0,16,16,16,2521.23924422884,VS1leftbutton,1,0,3,2,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
17,0,17,17,17,2524.070953074028,VS1rightbutton,0,1,4,3,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
