Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,2629.256087620015,2631.261069034357,None,0,0,2.59,,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
F,left,Distractor,0,1,1,1,2632.7587340765895,2634.760647660849,left,1,0,2.59,0.605284187317011,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
G,left,Distractor,0,2,2,2,2636.2588304776,2638.260783841324,left,1,0,2.59,0.8010568502941169,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
V,left,Distractor,0,3,3,3,2639.758925274611,2641.761095821319,left,1,0,2.59,0.5165737570350757,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
H,left,Distractor,0,4,4,4,2643.2589347382745,2645.2610857160616,left,1,0,2.59,0.4888959180098027,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
C,left,Pretarget,0,5,5,5,2646.758862718212,2648.760488222222,left,1,0,2.59,0.6853781951504061,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
C,right,Target,0,6,6,6,2650.2588503673323,2652.2591541668808,right,1,0,2.59,0.674814504236565,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
C,right,Target,0,7,7,7,2653.7589201417723,2655.7589538259926,right,1,0,2.59,0.5188062185625313,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
W,left,Distractor,0,8,8,8,2657.2585815352068,2659.260932693476,left,1,0,2.59,0.4890255220379913,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
R,left,Pretarget,0,9,9,9,2660.7586837106646,2662.761602688566,left,1,0,2.59,0.6363057461858261,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
R,right,Target,0,10,10,10,2664.258849725724,2666.258825023964,right,1,0,2.59,0.49926039086130913,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
Z,left,Distractor,0,11,11,11,2667.7588325628167,2669.761024924068,left,1,0,2.59,0.5486475466459524,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
R,left,Lure,0,12,12,12,2671.2589921618346,2673.2612284729694,right,0,0,2.59,0.5526495522935875,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
H,left,Pretarget,0,13,13,13,2674.7589246330026,2676.760394868834,left,1,0,2.59,1.085785998715437,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
H,right,Target,0,14,14,14,2678.2588365728443,2680.2589241518,None,0,0,2.59,,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
K,left,Distractor,0,15,15,15,2681.7590061167284,2683.761177625842,left,1,0,2.59,0.9006745504884748,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
J,left,Distractor,0,16,16,16,2685.2588818059303,2687.2613439617126,left,1,0,2.59,0.7287105329305632,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
H,left,Lure,0,17,17,17,2688.758827109181,2690.760700593193,right,0,0,2.59,0.6853287916310364,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
S,left,Distractor,0,18,18,18,2692.258904903676,2694.260744382671,left,1,0,2.59,0.6254279900458641,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
T,left,Pretarget,0,19,19,19,2695.758948693154,2697.7602280517604,right,0,0,2.59,0.7897841868398245,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
T,right,Target,0,20,20,20,2699.258920302178,2701.258922226989,right,1,0,2.59,0.8590687693795189,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
X,left,Pretarget,0,21,21,21,2702.758752683105,2704.7579311090376,left,1,0,2.59,0.41615212689794134,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
X,right,Target,0,22,22,22,2706.2588917507965,2708.258712743249,right,1,0,2.59,0.4994567217217991,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
W,left,Distractor,0,23,23,23,2709.758932653058,2711.7604545380163,left,1,0,2.59,0.4374565914622508,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
K,left,Distractor,0,24,24,24,2713.257976181718,2715.2611572549213,left,1,0,2.59,0.8408693478995701,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
F,left,Pretarget,0,25,25,25,2716.7588367332355,2718.7607798312965,left,1,0,2.59,0.7011061575758504,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
F,right,Target,0,26,26,26,2720.258896242027,2722.2589700264944,right,1,0,2.59,0.5151006340020103,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
Z,left,Distractor,0,27,27,27,2723.758905064082,2725.7607464678877,left,1,0,2.59,0.4529269498452777,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
F,left,Lure,0,28,28,28,2727.2588551793597,2729.2578436904732,right,0,0,2.59,0.5882265003747307,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
P,left,Distractor,0,29,29,29,2730.758927199422,2732.760440422717,left,1,0,2.59,0.49359855536022224,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
F,left,Lure,0,30,30,30,2734.2588975252293,2736.2604479615693,left,1,0,2.59,0.4494279618083965,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
R,left,Distractor,0,31,31,31,2737.7588829287415,2739.7579959110444,left,1,0,2.59,0.5038472186715808,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
V,left,Distractor,0,32,32,32,2741.25884812171,2743.2613041822624,left,1,0,2.59,0.4407194691884797,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
M,left,Pretarget,0,33,33,33,2744.758884211944,2746.761313645926,left,1,0,2.59,0.5404128786613001,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
M,right,Target,0,34,34,34,2748.2755150717567,2750.2589209437865,right,1,0,2.59,0.4669755134964362,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
M,right,Target,0,35,35,35,2751.7589089137036,2753.7590128535667,right,1,0,2.59,0.4707728474459145,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
D,left,Distractor,0,36,36,36,2755.2589113197173,2757.257864863408,left,1,0,2.59,0.4921209410968004,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
M,left,Lure,0,37,37,37,2758.7589596004254,2760.760882487957,left,1,0,2.59,0.42919273050210904,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
F,left,Distractor,0,38,38,38,2762.2588959212153,2764.260889064404,left,1,0,2.59,0.49717421509558335,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
T,left,Pretarget,0,39,39,39,2765.7590321016905,2767.760898207256,left,1,0,2.59,0.4051162153482437,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
T,right,Target,0,40,40,40,2769.2588843723497,2771.259037715732,right,1,0,2.59,0.5388704623765079,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
Z,left,Distractor,0,41,41,41,2772.7589246330026,2774.7609325330704,left,1,0,2.59,0.38111701350135263,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
S,left,Distractor,0,42,42,42,2776.2589132445282,2778.2607039616123,left,1,0,2.59,0.5613333431829233,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
D,left,Distractor,0,43,43,43,2779.7588973648235,2781.7613855055824,left,1,0,2.59,0.42053524540096987,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
Y,left,Pretarget,0,44,44,44,2783.258894638013,2785.2578744874772,left,1,0,2.59,0.42831405367178377,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
Y,right,Target,0,45,45,45,2786.7588761918887,2788.7589198209753,right,1,0,2.59,0.5107762222905876,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
Z,left,Pretarget,0,46,46,46,2790.258918377367,2792.2606154202367,left,1,0,2.59,0.5937641854688991,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
Z,right,Target,0,47,47,47,2793.758887419972,2795.7589336154633,right,1,0,2.59,0.5347593840269838,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
H,left,Pretarget,0,48,48,48,2797.2588673698338,2799.2608419064927,left,1,0,2.59,0.4411759705108125,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
H,right,Target,0,49,49,49,2800.7578781766933,2802.758880362322,right,1,0,2.59,0.46314609934051987,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
Z,left,Lure,0,50,50,50,2804.258963610453,2806.2602795404964,left,1,0,2.59,0.4336031171696959,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
R,left,Distractor,0,51,51,51,2807.7589166129474,2809.758004251911,left,1,0,2.59,0.5679110685305204,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
H,left,Lure,0,52,52,52,2811.2588535753457,2813.2609615656693,left,1,0,2.59,0.6489203246310353,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
L,left,Distractor,0,53,53,53,2814.758946447546,2816.760778548094,left,1,0,2.59,0.5089264776179334,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
N,left,Pretarget,0,54,54,54,2818.2588741066866,2820.2579229285766,left,1,0,2.59,0.3240453652542783,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
N,right,Target,0,55,55,55,2821.7589121217316,2823.7588742670778,right,1,0,2.59,0.5188257874833653,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
W,left,Distractor,0,56,56,56,2825.2588763522945,2827.2611623877456,left,1,0,2.59,0.44085131883912254,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
R,left,Pretarget,0,57,57,57,2828.7589923222404,2830.7600926732994,left,1,0,2.59,0.36581250981544144,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
R,right,Target,0,58,58,58,2832.257911379711,2834.2589408335043,right,1,0,2.59,0.4670175385690527,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
Q,left,Distractor,0,59,59,59,2835.7588280715863,2837.760739731035,left,1,0,2.59,0.5812038225412834,J04I08,2023-01-25_09h18.03.317,t1_Paradigm,2021.1.4,60.05434814123448,
