vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
0,0,0,0,0,2892.7113780972686,VS1leftbutton,1,0,3,4,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
1,0,1,1,1,2903.871748264939,VS1leftbutton,1,0,3,4,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
2,0,2,2,2,2916.900613759479,VS1leftbutton,1,0,1,3,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
3,0,3,3,3,2924.706210288652,VS1leftbutton,1,0,2,3,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
4,0,4,4,4,2936.0262256101823,VS1rightbutton,0,1,3,2,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
5,0,5,5,5,2940.934365718781,VS1leftbutton,1,0,3,4,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
6,0,6,6,6,2956.621122860327,VS1rightbutton,0,1,2,1,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
7,0,7,7,7,2960.3340266946234,VS1rightbutton,0,1,4,2,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
8,0,8,8,8,2965.5557346346795,VS1rightbutton,0,1,4,1,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
9,0,9,9,9,2967.817252569789,VS1leftbutton,1,0,1,3,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
10,0,10,10,10,2970.4962681036914,VS1rightbutton,0,1,3,1,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
11,0,11,11,11,2972.6872139644074,VS1leftbutton,1,0,1,4,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
12,0,12,12,12,2974.585885585121,VS1leftbutton,1,0,1,4,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
13,0,13,13,13,2976.2003132957907,VS1rightbutton,0,1,4,2,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
14,0,14,14,14,2978.7362316348544,VS1rightbutton,0,1,2,1,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
15,0,15,15,15,2981.070432204472,VS1leftbutton,1,0,1,2,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
16,0,16,16,16,2983.216117313651,VS1rightbutton,0,1,3,2,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
17,0,17,17,17,2990.394021266644,VS1rightbutton,0,1,4,2,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
