Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,3175.232109321817,3177.2279886127917,None,0,1,3.0,,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
T,left,Pretarget,0,1,1,1,3178.726093952808,3180.7266345051394,None,0,1,3.0,,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
B,left,Distractor,0,2,2,2,3182.225518432995,3184.2274981056607,left,1,1,3.0,0.9087717688598786,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
T,right,Target,0,3,3,3,3185.725119033794,3187.7255190746,right,1,1,3.0,1.00514984367328,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
Z,left,Distractor,0,4,4,4,3189.224393699181,3191.2255489092395,left,1,1,3.0,0.9562964241422378,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
T,right,Target,0,5,5,5,3192.7239355931097,3194.7259928999974,right,1,1,3.0,0.6169620509808738,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
L,left,Distractor,0,6,6,6,3196.2235169457545,3198.2250863119316,left,1,1,3.0,0.4386740973095584,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
T,right,Target,0,7,7,7,3199.7226924831466,3201.7243532780567,right,1,1,3.0,0.6764051633808776,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
Z,left,Lure,0,8,8,8,3203.2221313994505,3205.2236670813572,left,1,1,3.0,0.9873991958120314,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
J,left,Distractor,0,9,9,9,3206.7215144961056,3208.7227900071284,left,1,1,3.0,1.1108937495464488,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
D,left,Pretarget,0,10,10,10,3210.221112530485,3212.2225211745736,left,1,1,3.0,0.744350827125345,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
H,left,Distractor,0,11,11,11,3213.7203031455974,3215.7216726517736,left,1,1,3.0,0.8676009293012612,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
D,right,Target,0,12,12,12,3217.219771254935,3219.2209434675297,right,1,1,3.0,0.6975819827011946,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
S,left,Distractor,0,13,13,13,3220.7192060008047,3222.718153126767,left,1,1,3.0,0.875646657782454,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
R,left,Pretarget,0,14,14,14,3224.218870762118,3226.2190314842064,left,1,1,3.0,0.9850130662889569,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
Z,left,Distractor,0,15,15,15,3227.717907391997,3229.716958137189,left,1,1,3.0,1.2037147654518776,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
R,right,Target,0,16,16,16,3231.2175009351395,3233.21899074228,right,1,1,3.0,0.46732016289115563,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
T,left,Distractor,0,17,17,17,3234.7169013551347,3236.718412656047,left,1,1,3.0,0.7702367073852656,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
M,left,Distractor,0,18,18,18,3238.2162488427048,3240.217398919922,left,1,1,3.0,0.9146376438720836,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
R,left,Lure,0,19,19,19,3241.715327497721,3243.716897826306,left,1,1,3.0,0.9395341690023997,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
J,left,Distractor,0,20,20,20,3245.215401923917,3247.2168067183757,left,1,1,3.0,1.0296026988471567,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
K,left,Distractor,0,21,21,21,3248.7147535819213,3250.716539810637,left,1,1,3.0,0.8017032691705026,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
Z,left,Distractor,0,22,22,22,3252.213899284675,3254.2161070479688,left,1,1,3.0,0.8596001131791127,J17T08,2022-11-28_15h04.22.855,t1_Paradigm,2021.1.4,60.107172331818326,
