vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
0,0,0,0,0,2477.454700985225,VS1leftbutton,1,0,2,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
1,0,1,1,1,2486.9010453976516,VS1rightbutton,0,1,4,1,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
2,0,2,2,2,2491.2896515351895,VS1rightbutton,0,1,4,3,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
3,0,3,3,3,2496.356077129807,VS1rightbutton,0,1,3,2,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
4,0,4,4,4,2499.8938761132886,VS1rightbutton,0,1,4,2,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
5,0,5,5,5,2502.7786132176116,VS1rightbutton,0,1,3,2,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
6,0,6,6,6,2505.5617872780713,VS1rightbutton,0,1,4,2,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
7,0,7,7,7,2508.1474743093713,VS1rightbutton,0,1,4,3,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
8,0,8,8,8,2514.6942801314,VS1rightbutton,0,1,3,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
9,0,9,9,9,2517.9945867861097,VS1rightbutton,0,1,3,1,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
10,0,10,10,10,2519.9272411311977,VS1rightbutton,0,1,4,1,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
11,0,11,11,11,2521.6772423342045,VS1leftbutton,1,0,1,3,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
12,0,12,12,12,2523.9444325926015,VS1leftbutton,1,0,1,3,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
13,0,13,13,13,2525.694027018588,VS1rightbutton,0,1,2,1,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
14,0,14,14,14,2527.926206223754,VS1rightbutton,0,1,4,1,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
15,0,15,15,15,2529.4352940648096,VS1rightbutton,0,1,3,2,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
16,0,16,16,16,2532.1787390362006,VS1rightbutton,0,1,2,1,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
17,0,17,17,17,2534.963157167018,VS1rightbutton,0,1,2,1,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
