Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
0,0,0,0,0,2557.3437304210383,EDrightbutton,0,1,1.00,2.00,1,3,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
1,0,1,1,1,2561.5307981202204,EDleftbutton,1,0,1.50,2.00,1,3,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
2,0,2,2,2,2566.76334207732,EDrightbutton,0,1,1.25,2.00,1,3,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
3,0,3,3,3,2569.0027274590684,EDrightbutton,0,1,1.38,2.00,1,3,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
4,0,4,4,4,2571.2857043866825,EDrightbutton,0,1,1.44,2.00,1,3,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
5,0,5,5,5,2573.566824511974,EDrightbutton,0,1,1.47,2.00,1,3,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
0,0,0,0,0,2575.042356137128,EDrightbutton,0,1,1.00,2.00,1,2,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
1,0,1,1,1,2578.762365876668,EDleftbutton,1,0,1.50,2.00,1,2,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
2,0,2,2,2,2587.3077614528593,EDrightbutton,0,1,1.25,2.00,1,2,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
3,0,3,3,3,2589.3736532328767,EDrightbutton,0,1,1.38,2.00,1,2,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
4,0,4,4,4,2591.0121911197493,EDrightbutton,0,1,1.44,2.00,1,2,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
5,0,5,5,5,2592.194055409578,EDrightbutton,0,1,1.47,2.00,1,2,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
0,0,0,0,0,2593.99557678125,EDleftbutton,1,0,1.00,2.00,2,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
1,0,1,1,1,2604.572435981536,EDrightbutton,0,1,0.50,2.00,2,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
2,0,2,2,2,2611.8961326349527,EDrightbutton,0,1,0.75,2.00,2,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
3,0,3,3,3,2613.468917007529,EDrightbutton,0,1,0.88,2.00,2,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
4,0,4,4,4,2615.0851751916052,EDrightbutton,0,1,0.94,2.00,2,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
5,0,5,5,5,2616.5623550977325,EDrightbutton,0,1,0.97,2.00,2,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
0,0,0,0,0,2617.8465732084587,EDleftbutton,1,0,1.00,2.00,3,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
1,0,1,1,1,2621.8125110877154,EDrightbutton,0,1,0.50,2.00,3,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
2,0,2,2,2,2624.763701375632,EDrightbutton,0,1,0.75,2.00,3,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
3,0,3,3,3,2626.014439621358,EDrightbutton,0,1,0.88,2.00,3,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
4,0,4,4,4,2627.028441668721,EDrightbutton,0,1,0.94,2.00,3,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
5,0,5,5,5,2628.1475689459767,EDrightbutton,0,1,0.97,2.00,3,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
0,0,0,0,0,2629.710601898434,EDleftbutton,1,0,1.00,2.00,1,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
1,0,1,1,1,2637.029009488353,EDleftbutton,1,0,0.50,2.00,1,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
2,0,2,2,2,2639.598257018253,EDrightbutton,0,1,0.25,2.00,1,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
3,0,3,3,3,2641.5220017278334,EDrightbutton,0,1,0.38,2.00,1,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
4,0,4,4,4,2643.229435705958,EDrightbutton,0,1,0.44,2.00,1,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
5,0,5,5,5,2644.556441432622,EDrightbutton,0,1,0.47,2.00,1,4,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
0,0,0,0,0,2646.0953077245504,EDleftbutton,1,0,1.00,2.00,2,3,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
