Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2691.631418006029,2693.6195114377188,None,0,3,3.0,,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
P,left,Pretarget,0,1,1,1,2695.119463156996,2697.1197079289705,left,1,3,3.0,0.6724213208945002,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
B,left,Distractor,0,2,2,2,2698.619426425168,2700.6213127412484,left,1,3,3.0,0.5468988546344917,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
K,left,Pretarget,0,3,3,3,2702.1192504652427,2704.1214248615725,left,1,3,3.0,0.470723764738068,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
H,left,Distractor,0,4,4,4,2705.6191813324112,2707.6210249818105,left,1,3,3.0,0.5072008833813015,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
P,right,Target,0,5,5,5,2709.119601422688,2711.1193970717723,left,0,3,3.0,0.4331286509113852,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
L,left,Distractor,0,6,6,6,2712.6192137334147,2714.619736319961,left,1,3,3.0,0.5002779749920592,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
K,right,Target,0,7,7,7,2716.1191587158537,2718.1193823148787,left,0,3,3.0,0.5367182013869751,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
Z,left,Pretarget,0,8,8,8,2719.6195688612934,2721.6195021344465,left,1,3,3.0,0.6366528540092986,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
S,left,Pretarget,0,9,9,9,2723.119642164558,2725.119422415155,left,1,3,3.0,0.43303818473941647,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
N,left,Distractor,0,10,10,10,2726.6193783048657,2728.6217551273003,left,1,3,3.0,0.4503072802326642,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
M,left,Distractor,0,11,11,11,2730.119486575568,2732.119436851237,left,1,3,3.0,0.5206659080577083,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
Z,right,Target,0,12,12,12,2733.6190122697153,2735.620167157118,left,0,3,3.0,0.4920378533715848,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
S,right,Target,0,13,13,13,2737.1192347459437,2739.120120480424,left,0,3,3.0,0.41607545522856526,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
Q,left,Distractor,0,14,14,14,2740.619317673263,2742.6198011219676,left,1,3,3.0,0.37244412989821285,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
V,left,Lure,0,15,15,15,2744.1192511068366,2746.121543237532,left,1,3,3.0,0.4226878272020258,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
Z,right,Target,0,16,16,16,2747.6195467259386,2749.61883101656,left,0,3,3.0,0.46159919182537124,K10M08,2022-11-28_12h07.35.988,t1_Paradigm,2021.1.4,59.956165570491834,
