Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,2189.482002357254,2191.4164743457804,None,0,1,,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
Q,left,Pretarget,0,1,1,1,2192.918903138925,2194.917376762256,left,1,1,0.4719326982740313,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
Q,right,Target,0,2,2,2,2196.4151035581453,2198.414931929001,left,0,1,0.4943551652104361,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
T,left,Distractor,0,3,3,3,2199.9146913273726,2201.9174781357287,left,1,1,0.9118827044585487,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
Q,left,Lure,0,4,4,4,2203.4150448513537,2205.4172946368926,left,1,1,0.8359109786833869,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
L,left,Distractor,0,5,5,5,2206.914997051834,2208.9165715488343,left,1,1,0.7607611480343621,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
V,left,Pretarget,0,6,6,6,2210.414835046744,2212.4164865362545,left,1,1,0.7167349012888735,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
V,right,Target,0,7,7,7,2213.9149380242307,2215.9149502147193,right,1,1,0.5144357763783773,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
K,left,Distractor,0,8,8,8,2217.414636149406,2219.41654684706,left,1,1,0.7408200858044438,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
G,left,Pretarget,0,9,9,9,2220.9151356383663,2222.9165641703876,left,1,1,0.7128300974145532,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
G,right,Target,0,10,10,10,2224.4151487912604,2226.4149948062113,right,1,1,0.8944131020834902,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
G,right,Target,0,11,11,11,2227.915190816333,2229.914740089298,right,1,1,0.7230457213736372,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
P,left,Pretarget,0,12,12,12,2231.4149835781427,2233.417971208648,left,1,1,0.6436920992273372,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
