Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,4660.445664455066,4662.434326985953,left,1,0.46007873766939156,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
F,left,Distractor,0,1,1,1,4663.93256353648,4665.933172098172,left,1,0.641519306198461,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
G,left,Distractor,0,2,2,2,4667.432145852072,4669.43446910131,left,1,0.580145041065407,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
V,left,Distractor,0,3,3,3,4670.93244483968,4672.9341168605315,left,1,0.6322532566264272,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
H,left,Distractor,0,4,4,4,4674.432593050282,4676.43433179798,left,1,0.588127240393078,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
C,left,Pretarget,0,5,5,5,4677.932405381012,4679.934155998402,left,1,0.7680943645973457,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
C,right,Target,0,6,6,6,4681.432442273261,4683.432327426082,right,1,0.7263028256857069,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
C,right,Target,0,7,7,7,4684.932331596516,4686.932487506361,right,1,0.6018880490300944,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
W,left,Distractor,0,8,8,8,4688.432358864695,4690.433577592106,left,1,0.6368259706068784,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
R,left,Pretarget,0,9,9,9,4691.932565461291,4693.934323457128,left,1,0.6881443712336477,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
R,right,Target,0,10,10,10,4695.432436498828,4697.432442594058,right,1,0.5663880820648046,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
Z,left,Distractor,0,11,11,11,4698.932532097868,4700.93448225419,left,1,0.6799995252222288,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
R,left,Lure,0,12,12,12,4702.432486864767,4704.433589461783,left,1,0.6367881159530953,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
H,left,Pretarget,0,13,13,13,4705.932345391004,4707.9338512363465,left,1,0.672597656986909,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
H,right,Target,0,14,14,14,4709.432457030154,4711.432487185564,right,1,0.7740612847555894,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
K,left,Distractor,0,15,15,15,4712.932412759459,4714.933198403945,left,1,0.6973943807097385,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
J,left,Distractor,0,16,16,16,4716.432374584008,4718.433241712235,left,1,0.6212102838908322,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
H,left,Lure,0,17,17,17,4719.93241019304,4721.933698855326,left,1,0.8324780747789191,0,1.47,K13R08,2022-11-30_17h18.45.815,t1_Paradigm,2021.1.4,60.0054284631568,
