vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
0,0,0,0,0,2949.0090735479007,VS1rightbutton,0,1,2,1,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
1,0,1,1,1,2955.541366864355,VS1leftbutton,1,0,1,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
2,0,2,2,2,2960.5284879697856,VS1leftbutton,1,0,2,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
3,0,3,3,3,2982.310531622521,VS1leftbutton,1,0,2,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
4,0,4,4,4,2987.116658801685,VS1leftbutton,1,0,1,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
5,0,5,5,5,2990.2834011240247,VS1rightbutton,0,1,3,1,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
6,0,6,6,6,2992.8632946371945,VS1leftbutton,1,0,2,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
7,0,7,7,7,2997.134758739674,VS1rightbutton,0,1,1,2,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
8,0,8,8,8,3017.832942009045,VS1rightbutton,0,1,4,1,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
9,0,9,9,9,3022.2865363164874,VS1rightbutton,0,1,1,2,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
10,0,10,10,10,3025.7650068507146,VS1rightbutton,0,1,3,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
11,0,11,11,11,3067.476141515781,VS1rightbutton,0,1,4,2,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
12,0,12,12,12,3070.662599332156,VS1rightbutton,0,1,4,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
13,0,13,13,13,3075.0199192029495,VS1leftbutton,1,0,1,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
14,0,14,14,14,3077.8657991340287,VS1leftbutton,1,0,1,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
15,0,15,15,15,3079.9356106599753,VS1leftbutton,1,0,2,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
16,0,16,16,16,3084.770266069506,VS1rightbutton,0,1,3,2,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
17,0,17,17,17,3087.5611606339426,VS1leftbutton,1,0,4,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
