Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
0,0,0,0,0,3110.6570683945465,EDleftbutton,1,0,2.00,1.00,3,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
1,0,1,1,1,3120.259417366843,EDleftbutton,1,0,2.00,1.50,3,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
2,0,2,2,2,3123.4465119740744,EDrightbutton,0,1,2.00,1.75,3,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
3,0,3,3,3,3134.5695527995867,EDleftbutton,1,0,2.00,1.62,3,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
4,0,4,4,4,3137.068621994211,EDleftbutton,1,0,2.00,1.68,3,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
5,0,5,5,5,3144.26768313672,EDleftbutton,1,0,2.00,1.71,3,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
0,0,0,0,0,3148.149642322436,EDrightbutton,0,1,1.00,2.00,2,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
1,0,1,1,1,3184.385024283065,EDleftbutton,1,0,1.50,2.00,2,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
2,0,2,2,2,3186.2831646933637,EDleftbutton,1,0,1.25,2.00,2,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
3,0,3,3,3,3191.807237793746,EDrightbutton,0,1,1.12,2.00,2,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
4,0,4,4,4,3193.4584268603194,EDrightbutton,0,1,1.18,2.00,2,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
5,0,5,5,5,3195.458458298861,EDrightbutton,0,1,1.21,2.00,2,4,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
0,0,0,0,0,3197.528205022917,EDleftbutton,1,0,1.00,2.00,2,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
1,0,1,1,1,3210.3851660773016,EDrightbutton,0,1,0.50,2.00,2,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
2,0,2,2,2,3212.607714376364,EDrightbutton,0,1,0.75,2.00,2,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
3,0,3,3,3,3215.919762106485,EDleftbutton,1,0,0.88,2.00,2,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
4,0,4,4,4,3219.1756538655136,EDrightbutton,0,1,0.82,2.00,2,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
5,0,5,5,5,3221.119857512833,EDleftbutton,1,0,0.85,2.00,2,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
0,0,0,0,0,3224.367961175327,EDleftbutton,1,0,1.00,2.00,1,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
1,0,1,1,1,3289.56404046846,EDrightbutton,0,1,0.50,2.00,1,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
2,0,2,2,2,3296.7038367531304,EDleftbutton,1,0,0.75,2.00,1,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
3,0,3,3,3,3298.3534170004878,EDrightbutton,0,1,0.62,2.00,1,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
4,0,4,4,4,3301.403378937397,EDleftbutton,1,0,0.68,2.00,1,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
5,0,5,5,5,3306.1685946298485,EDleftbutton,1,0,0.65,2.00,1,3,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
0,0,0,0,0,3309.718897739088,EDleftbutton,1,0,2.00,1.00,1,2,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
1,0,1,1,1,3314.3538029246183,EDleftbutton,1,0,2.00,1.50,1,2,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
2,0,2,2,2,3316.2680369807067,EDleftbutton,1,0,2.00,1.75,1,2,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
3,0,3,3,3,3318.7033019771316,EDleftbutton,1,0,2.00,1.88,1,2,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
4,0,4,4,4,3320.718271534679,EDleftbutton,1,0,2.00,1.94,1,2,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
5,0,5,5,5,3323.353805811832,EDleftbutton,1,0,2.00,1.97,1,2,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
