Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,3407.1335685663353,3409.1268567586285,left,1,0.449480670590674,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
F,left,Distractor,0,1,1,1,3410.6246648827973,3412.625080641462,left,1,0.40741878991775593,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
G,left,Distractor,0,2,2,2,3414.1248427671953,3416.1376311957583,left,1,0.558750131929628,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
V,left,Distractor,0,3,3,3,3417.624719419042,3419.626936798588,left,1,0.5575516177541431,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
H,left,Distractor,0,4,4,4,3421.124394928386,3423.1274396548433,left,1,0.46484256829717197,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
C,left,Pretarget,0,5,5,5,3424.6242500865364,3426.6268537110154,left,1,0.5654786213108309,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
C,right,Target,0,6,6,6,3428.1247635292393,3430.1246557399563,right,1,0.6676862805734345,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
C,right,Target,0,7,7,7,3431.6247819753225,3433.6247794089104,right,1,0.7195557028389885,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
W,left,Distractor,0,8,8,8,3435.124682366475,3437.126759555793,left,1,0.6584603519904704,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
R,left,Pretarget,0,9,9,9,3438.6247502159795,3440.626817460453,left,1,0.5654799045169057,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
R,right,Target,0,10,10,10,3442.124768341261,3444.1246679304104,right,1,0.8437748320366154,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
Z,left,Distractor,0,11,11,11,3445.6245753791954,3447.6250065363292,left,1,0.43147119860714156,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
R,left,Lure,0,12,12,12,3449.1247324115,3451.1264445287798,left,1,1.0258777688777627,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
H,left,Pretarget,0,13,13,13,3452.624591098466,3454.6266185635604,left,1,0.6298487132498849,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
H,right,Target,0,14,14,14,3456.1246432287,3458.1246236598117,right,1,0.6196494730993436,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
K,left,Distractor,0,15,15,15,3459.6245609431307,3461.6265242479376,left,1,0.9418727040647354,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
J,left,Distractor,0,16,16,16,3463.1245784268094,3465.126271616804,left,1,0.609949399989091,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
H,left,Lure,0,17,17,17,3466.624637293873,3468.627061911149,left,1,0.5332239614299397,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
S,left,Distractor,0,18,18,18,3470.124380813123,3472.12663412243,left,1,0.5696256215132962,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
T,left,Pretarget,0,19,19,19,3473.624343118954,3475.626637811647,left,1,0.5096780982121345,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
T,right,Target,0,20,20,20,3477.1245145873227,3479.124615318975,right,1,0.41941259331724723,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
X,left,Pretarget,0,21,21,21,3480.6245766624015,3482.626326634251,None,0,,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
X,right,Target,0,22,22,22,3484.124643870303,3486.1245765020003,right,1,0.571634159322457,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
W,left,Distractor,0,23,23,23,3487.6245243717667,3489.6252801799574,left,1,0.8471788561055291,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
K,left,Distractor,0,24,24,24,3491.1244748079444,3493.126367857236,left,1,0.609849630741337,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
F,left,Pretarget,0,25,25,25,3494.624640822689,3496.6260776923345,left,1,0.6946015213043211,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
F,right,Target,0,26,26,26,3498.124510416904,3500.1245303065934,right,1,0.42753400254605367,0,1.65,K15V08,2022-11-18_16h14.11.074,t1_Paradigm,2021.1.4,59.97427634170212,
