vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
0,0,0,0,0,2702.627959595673,VS1rightbutton,0,1,4,1,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
1,0,1,1,1,2745.225559486091,VS1rightbutton,0,1,2,1,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
2,0,2,2,2,2752.92744172558,VS1leftbutton,1,0,1,3,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
3,0,3,3,3,2763.5829312352,VS1leftbutton,1,0,1,3,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
4,0,4,4,4,2766.8755648915976,VS1leftbutton,1,0,2,3,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
5,0,5,5,5,2787.733091427508,VS1leftbutton,1,0,2,3,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
6,0,6,6,6,2790.4158333576634,VS1leftbutton,1,0,1,2,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
7,0,7,7,7,2792.6634142726543,VS1leftbutton,1,0,1,3,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
8,0,8,8,8,2795.4665129599016,VS1leftbutton,1,0,4,3,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
9,0,9,9,9,2799.4495370992663,VS1rightbutton,0,1,3,4,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
10,0,10,10,10,2801.366318906992,VS1leftbutton,1,0,4,2,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
11,0,11,11,11,2804.533926859149,VS1rightbutton,0,1,2,4,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
12,0,12,12,12,2806.4337196533597,VS1leftbutton,1,0,2,3,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
13,0,13,13,13,2811.4682780105504,VS1leftbutton,1,0,1,4,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
14,0,14,14,14,2813.6146347785543,VS1rightbutton,0,1,3,4,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
15,0,15,15,15,2839.8005589006207,VS1rightbutton,0,1,4,2,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
16,0,16,16,16,2847.7798338311695,VS1leftbutton,1,0,1,2,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
17,0,17,17,17,2849.5331960729964,VS1leftbutton,1,0,1,4,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
