Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,3044.1472267820645,3046.141130267599,None,0,3,3.0,,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
P,left,Pretarget,0,1,1,1,3047.638679824231,3049.640587310816,None,0,3,3.0,,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
B,left,Distractor,0,2,2,2,3051.1387531274086,3053.1403237722698,None,0,3,3.0,,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
K,left,Pretarget,0,3,3,3,3054.6385354634986,3056.6402036320505,None,0,3,3.0,,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
H,left,Distractor,0,4,4,4,3058.1384980901057,3060.140384724582,left,1,3,3.0,0.49890045236679725,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
P,right,Target,0,5,5,5,3061.6385630524455,3063.6406142581545,right,1,3,3.0,0.647009759748471,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
L,left,Distractor,0,6,6,6,3065.138580856932,3067.140717395887,left,1,3,3.0,0.45899978537636343,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
K,right,Target,0,7,7,7,3068.638586791756,3070.639958218788,right,1,3,3.0,0.44751604890916497,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
Z,left,Pretarget,0,8,8,8,3072.138474671592,3074.1407969546854,left,1,3,3.0,0.5145802743645618,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
S,left,Pretarget,0,9,9,9,3075.6385672228644,3077.640063441737,left,1,3,3.0,0.48724733261042275,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
N,left,Distractor,0,10,10,10,3079.138542039931,3081.1404010854603,left,1,3,3.0,0.6667323240690166,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
M,left,Distractor,0,11,11,11,3082.6385412379313,3084.640863841836,left,1,3,3.0,0.47855457045079675,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
Z,right,Target,0,12,12,12,3086.1385320950794,3088.1403795917577,right,1,3,3.0,0.9149352734675631,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
S,right,Target,0,13,13,13,3089.6386179095134,3091.640423701974,right,1,3,3.0,0.43895802342740353,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
Q,left,Distractor,0,14,14,14,3093.1385147717956,3095.140622438601,left,1,3,3.0,0.4588413093588315,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
V,left,Lure,0,15,15,15,3096.6386284959735,3098.64068900494,left,1,3,3.0,0.7186659399449127,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
Z,right,Target,0,16,16,16,3100.1387284256925,3102.140491230719,right,1,3,3.0,0.4667535611370113,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
X,left,Distractor,0,17,17,17,3103.63870516757,3105.6401070707507,left,1,3,3.0,0.5991387758986093,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
V,left,Pretarget,0,18,18,18,3107.138485899646,3109.1405008547736,left,1,3,3.0,0.5068341978330864,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
E,left,Distractor,0,19,19,19,3110.6384963257005,3112.648422249389,left,1,3,3.0,0.742811075746431,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
R,left,Distractor,0,20,20,20,3114.1385186214175,3116.1405415965855,left,1,3,3.0,0.962861114385305,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
G,left,Distractor,0,21,21,21,3117.6384312029695,3119.640709857049,left,1,3,3.0,0.6786683908721898,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
V,right,Target,0,22,22,22,3121.1385766865133,3123.1403516820137,right,1,3,3.0,0.8910329845093656,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
T,left,Pretarget,0,23,23,23,3124.6384299197525,3126.6407201226975,left,1,3,3.0,0.6386243255547015,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
B,left,Distractor,0,24,24,24,3128.1384817292274,3130.1399548503687,left,1,3,3.0,0.4673037359461887,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
S,left,Pretarget,0,25,25,25,3131.6386474232713,3133.6405693459237,right,0,3,3.0,1.0147475724224932,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
G,left,Lure,0,26,26,26,3135.138555513593,3137.140192885199,left,1,3,3.0,0.4751582434400916,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
T,right,Target,0,27,27,27,3138.6385110825795,3140.6403935466224,left,0,3,3.0,0.49502998052048497,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
H,left,Distractor,0,28,28,28,3142.138557438404,3144.14102953588,left,1,3,3.0,0.6103504725906532,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
S,right,Target,0,29,29,29,3145.6384764359973,3147.6410765333276,right,1,3,3.0,0.7901306015701266,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
D,left,Distractor,0,30,30,30,3149.138565779256,3151.1401258376573,left,1,3,3.0,0.5231761544273468,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
Z,left,Distractor,0,31,31,31,3152.638419333307,3154.6399139481655,left,1,3,3.0,0.5432243324175943,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
J,left,Pretarget,0,32,32,32,3156.1383983207925,3158.140478077854,left,1,3,3.0,0.5628660547372419,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
C,left,Pretarget,0,33,33,33,3159.6384793232137,3161.640523792099,left,1,3,3.0,0.582670423478703,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
H,left,Distractor,0,34,34,34,3163.138480766822,3165.140033767573,left,1,3,3.0,0.5712235791725107,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
B,left,Pretarget,0,35,35,35,3166.638482531227,3168.6407181978866,left,1,3,3.0,0.46264088405587245,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
J,right,Target,0,36,36,36,3170.138645658866,3172.14041327592,right,1,3,3.0,0.7385893260943703,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
C,right,Target,0,37,37,37,3173.638458471105,3175.6406533959525,right,1,3,3.0,0.6947379868506687,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
H,left,Distractor,0,38,38,38,3177.138397679184,3179.1397023794852,right,0,3,3.0,0.4433866901235888,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
B,right,Target,0,39,39,39,3180.638413879671,3182.637540657597,left,0,3,3.0,0.6736933989595855,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
F,left,Pretarget,0,40,40,40,3184.1384185312927,3186.14028078485,left,1,3,3.0,0.7386727345292456,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
M,left,Distractor,0,41,41,41,3187.638361909805,3189.6398401637853,left,1,3,3.0,0.6153228980838321,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
W,left,Pretarget,0,42,42,42,3191.138614861906,3193.1402175869152,left,1,3,3.0,0.8111389388650423,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
Z,left,Distractor,0,43,43,43,3194.638501779322,3196.6406678320345,left,1,3,3.0,0.6545774705591612,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
F,right,Target,0,44,44,44,3198.1384887868626,3200.1402631407545,left,0,3,3.0,0.9470455932896584,K17R10,2022-12-08_10h40.38.421,t1_Paradigm,2021.1.4,59.942637811852876,
