Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,L05N08,2022-10-06_12h01.45.324,t1_Paradigm,2021.1.4,60.00537070406885,
0,0,0,0,0,2509.0133726251443,EDleftbutton,1,0,2.00,1.00,1,2,L05N08,2022-10-06_12h01.45.324,t1_Paradigm,2021.1.4,60.00537070406885,
1,0,1,1,1,2523.6528269540286,EDrightbutton,0,1,2.00,1.50,1,2,L05N08,2022-10-06_12h01.45.324,t1_Paradigm,2021.1.4,60.00537070406885,
2,0,2,2,2,2526.829460452993,EDleftbutton,1,0,2.00,1.25,1,2,L05N08,2022-10-06_12h01.45.324,t1_Paradigm,2021.1.4,60.00537070406885,
3,0,3,3,3,2531.4997598798163,EDleftbutton,1,0,2.00,1.38,1,2,L05N08,2022-10-06_12h01.45.324,t1_Paradigm,2021.1.4,60.00537070406885,
4,0,4,4,4,2534.582388812485,EDrightbutton,0,1,2.00,1.44,1,2,L05N08,2022-10-06_12h01.45.324,t1_Paradigm,2021.1.4,60.00537070406885,
5,0,5,5,5,2536.629916248261,EDrightbutton,0,1,2.00,1.41,1,2,L05N08,2022-10-06_12h01.45.324,t1_Paradigm,2021.1.4,60.00537070406885,
0,0,0,0,0,2540.763691582384,EDrightbutton,0,1,2.00,1.00,3,4,L05N08,2022-10-06_12h01.45.324,t1_Paradigm,2021.1.4,60.00537070406885,
1,0,1,1,1,2548.8681048855233,EDrightbutton,0,1,2.00,0.50,3,4,L05N08,2022-10-06_12h01.45.324,t1_Paradigm,2021.1.4,60.00537070406885,
2,0,2,2,2,2551.3263302289342,EDrightbutton,0,1,2.00,0.25,3,4,L05N08,2022-10-06_12h01.45.324,t1_Paradigm,2021.1.4,60.00537070406885,
3,0,3,3,3,2554.107921592178,EDleftbutton,1,0,2.00,0.12,3,4,L05N08,2022-10-06_12h01.45.324,t1_Paradigm,2021.1.4,60.00537070406885,
4,0,4,4,4,2556.260691283076,EDleftbutton,1,0,2.00,0.18,3,4,L05N08,2022-10-06_12h01.45.324,t1_Paradigm,2021.1.4,60.00537070406885,
