Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
0,0,0,0,0,2557.9374759398343,EDleftbutton,1,0,1.00,2.00,1,4,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
1,0,1,1,1,2561.0243739220896,EDleftbutton,1,0,0.50,2.00,1,4,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
2,0,2,2,2,2565.665954913158,EDleftbutton,1,0,0.25,2.00,1,4,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
3,0,3,3,3,2570.1874727318063,EDrightbutton,0,1,0.12,2.00,1,4,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
4,0,4,4,4,2573.3268732291763,EDrightbutton,0,1,0.18,2.00,1,4,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
5,0,5,5,5,2577.0515077069576,EDleftbutton,1,0,0.21,2.00,1,4,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
0,0,0,0,0,2581.7003507011395,EDleftbutton,1,0,1.00,2.00,1,3,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
1,0,1,1,1,2588.53176360458,EDleftbutton,1,0,0.50,2.00,1,3,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
2,0,2,2,2,2591.219897830859,EDleftbutton,1,0,0.25,2.00,1,3,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
3,0,3,3,3,2595.6686746756022,EDrightbutton,0,1,0.12,2.00,1,3,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
