Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,184.49033422474167,186.42557449286687,None,0,1,,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
Q,left,Pretarget,0,1,1,1,187.92765842503286,189.92673483502585,left,1,1,1.3402224571909755,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
Q,right,Target,0,2,2,2,191.42592224263353,193.42590171127813,left,0,1,0.5612058832484763,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
T,left,Distractor,0,3,3,3,194.9256832448882,196.93882491375552,left,1,1,1.3522217488498427,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
Q,left,Lure,0,4,4,4,198.42522995112813,200.42573329005972,left,1,1,0.8412705185182858,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
L,left,Distractor,0,5,5,5,201.9256992849987,203.9264502833248,left,1,1,0.7483988753810991,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
V,left,Pretarget,0,6,6,6,205.4258487788902,207.4276311568392,left,1,1,0.5112960928818211,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
V,right,Target,0,7,7,7,208.92587251827354,210.92603837308707,right,1,1,0.6291120447276626,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
K,left,Distractor,0,8,8,8,212.4259084481455,214.4276135127002,left,1,1,0.5512536314781755,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
G,left,Pretarget,0,9,9,9,215.92574644295382,217.92746754761902,left,1,1,0.7955609934870154,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
G,right,Target,0,10,10,10,219.42624176180107,221.42595175644965,right,1,1,0.6090067188779358,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
G,right,Target,0,11,11,11,222.9262510650733,224.92594437798834,right,1,1,0.5970687004737556,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
