Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
D,left,Distractor,0,0,0,0,2736.6427666765812,2738.6445551497745,None,0,2,2.59,,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
M,left,Pretarget,0,1,1,1,2740.14474442316,2742.1451752607536,left,1,2,2.59,0.5329473653109744,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
T,left,Distractor,0,2,2,2,2743.644970909634,2745.6452432708465,left,1,2,2.59,0.6485773698077537,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
G,left,Pretarget,0,3,3,3,2747.1448182077147,2749.144580172375,left,1,2,2.59,1.2290612296201289,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
M,right,Target,0,4,4,4,2750.644750518404,2752.6452522533073,None,0,2,2.59,,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
P,left,Distractor,0,5,5,5,2754.144840663881,2756.1452150402474,left,1,2,2.59,1.1245938641950488,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
G,right,Target,0,6,6,6,2757.6451300276094,2759.6452025289473,right,1,2,2.59,1.400419096200494,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
J,left,Distractor,0,7,7,7,2761.144943962252,2763.1452237018966,left,1,2,2.59,0.8125830877979752,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
M,left,Lure,0,8,8,8,2764.6451393308816,2766.6461636528256,left,1,2,2.59,1.215628592966823,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
F,left,Pretarget,0,9,9,9,2768.144946528657,2770.144959039957,left,1,2,2.59,1.3006546934775542,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
R,left,Distractor,0,10,10,10,2771.6448095460655,2773.644643691223,None,0,2,2.59,,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
G,left,Distractor,0,11,11,11,2775.144863440859,2777.144794147549,None,0,2,2.59,,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
F,right,Target,0,12,12,12,2778.6449166940292,2780.6459602641407,None,0,2,2.59,,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
F,left,Lure,0,13,13,13,2782.1448467591254,2784.1452772759076,right,0,2,2.59,1.1725076222792268,L07B10,2022-09-21_16h09.24.822,t1_Paradigm,2021.1.4,59.98356658772844,
