vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
0,0,0,0,0,2592.394663,VS1rightbutton,0,1,4,1,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
1,0,1,1,1,2596.181852,VS1rightbutton,0,1,3,1,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
2,0,2,2,2,2599.214107,VS1rightbutton,0,1,4,2,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
3,0,3,3,3,2601.529565,VS1leftbutton,1,0,2,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
4,0,4,4,4,2604.204195,VS1rightbutton,0,1,3,2,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
5,0,5,5,5,2606.762092,VS1leftbutton,1,0,3,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
6,0,6,6,6,2608.954399,VS1leftbutton,1,0,2,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
7,0,7,7,7,2612.036707,VS1leftbutton,1,0,3,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
8,0,8,8,8,2614.219107,VS1leftbutton,1,0,1,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
9,0,9,9,9,2617.494187,VS1leftbutton,1,0,1,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
10,0,10,10,10,2619.592123,VS1leftbutton,1,0,1,2,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
11,0,11,11,11,2621.984155,VS1rightbutton,0,1,2,1,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
12,0,12,12,12,2624.592017,VS1rightbutton,0,1,4,1,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
13,0,13,13,13,2627.492621,VS1rightbutton,0,1,4,1,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
14,0,14,14,14,2629.539771,VS1rightbutton,0,1,3,2,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
15,0,15,15,15,2632.398268,VS1rightbutton,0,1,2,1,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
16,0,16,16,16,2636.732682,VS1rightbutton,0,1,4,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
17,0,17,17,17,2639.849271,VS1leftbutton,1,0,2,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
