Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate
T,left,Distractor,0,0,0,0,2778.893614,2780.882101,None,0,0,1.97,,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
F,left,Distractor,0,1,1,1,2782.380902,2784.382244,left,1,0,1.97,1.016847246,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
G,left,Distractor,0,2,2,2,2785.880359,2787.881316,left,1,0,1.97,0.620293431,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
V,left,Distractor,0,3,3,3,2789.37992,2791.380747,left,1,0,1.97,0.374567318,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
H,left,Distractor,0,4,4,4,2792.879233,2794.880074,left,1,0,1.97,0.410658523,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
C,left,Pretarget,0,5,5,5,2796.3786,2798.377895,left,1,0,1.97,0.455880079,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
C,right,Target,0,6,6,6,2799.877968,2801.877645,right,1,0,1.97,0.613883483,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
C,right,Target,0,7,7,7,2803.377131,2805.37751,right,1,0,1.97,0.404058981,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
W,left,Distractor,0,8,8,8,2806.876847,2808.877363,left,1,0,1.97,0.504546729,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
R,left,Pretarget,0,9,9,9,2810.376147,2812.377029,left,1,0,1.97,0.442069867,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
R,right,Target,0,10,10,10,2813.875772,2815.875331,right,1,0,1.97,0.548350339,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Z,left,Distractor,0,11,11,11,2817.375188,2819.375759,left,1,0,1.97,0.505771552,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
R,left,Lure,0,12,12,12,2820.874523,2822.876551,left,1,0,1.97,0.547967943,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
H,left,Pretarget,0,13,13,13,2824.373855,2826.374585,left,1,0,1.97,0.471164377,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
H,right,Target,0,14,14,14,2827.873345,2829.872962,right,1,0,1.97,0.389636037,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
K,left,Distractor,0,15,15,15,2831.372717,2833.374323,left,1,0,1.97,0.554098472,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
J,left,Distractor,0,16,16,16,2834.872089,2836.872798,left,1,0,1.97,0.500901454,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
H,left,Lure,0,17,17,17,2838.371575,2840.372147,left,1,0,1.97,0.618326914,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
S,left,Distractor,0,18,18,18,2841.87101,2843.871554,left,1,0,1.97,0.470474332,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
T,left,Pretarget,0,19,19,19,2845.370501,2847.371007,left,1,0,1.97,0.473754855,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
T,right,Target,0,20,20,20,2848.869798,2850.869287,right,1,0,1.97,0.436979378,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
X,left,Pretarget,0,21,21,21,2852.369194,2854.369759,left,1,0,1.97,0.545079761,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
X,right,Target,0,22,22,22,2855.868585,2857.868347,right,1,0,1.97,0.447132125,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
W,left,Distractor,0,23,23,23,2859.367955,2861.369143,left,1,0,1.97,0.591740114,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
K,left,Distractor,0,24,24,24,2862.867504,2864.869138,left,1,0,1.97,0.635125398,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
F,left,Pretarget,0,25,25,25,2866.366912,2868.367988,left,1,0,1.97,0.602398124,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
