Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,297.1855410616845,299.18082045792835,None,0,1,,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
Q,left,Pretarget,0,1,1,1,300.6790024720831,302.6812127989251,left,1,1,0.5665324430447072,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
Q,right,Target,0,2,2,2,304.1782190732192,306.17836760461796,right,1,1,0.7944944574846886,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
T,left,Distractor,0,3,3,3,307.67804680246627,309.6796986127738,left,1,1,1.3411474323365837,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
Q,left,Lure,0,4,4,4,311.1772265112959,313.17798039637273,left,1,1,1.1925778570584953,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
L,left,Distractor,0,5,5,5,314.67657367890934,316.6786537601147,left,1,1,0.8217087462544441,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
V,left,Pretarget,0,6,6,6,318.1757700695307,320.17766568949446,left,1,1,0.6768543808721006,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
V,right,Target,0,7,7,7,321.6754935380304,323.67536810442107,right,1,1,0.8268415808561258,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
K,left,Distractor,0,8,8,8,325.17500014434336,327.17648128792644,left,1,1,0.761319664597977,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
G,left,Pretarget,0,9,9,9,328.67417343717534,330.6765996639151,left,1,1,0.7660636869259179,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
G,right,Target,0,10,10,10,332.17366079532076,334.17348178772954,right,1,1,0.6805705530568957,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
G,right,Target,0,11,11,11,335.6732113515027,337.6728222184465,right,1,1,0.6250297543592751,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
P,left,Pretarget,0,12,12,12,339.17258225847036,341.174059873214,left,1,1,0.6124106806237251,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
P,right,Target,0,13,13,13,342.67199904011795,344.67171609262004,left,0,1,0.6484460664214566,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
G,left,Lure,0,14,14,14,346.1717494560289,348.17118741065497,left,1,1,1.1802192747127265,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
Y,left,Distractor,0,15,15,15,349.67084992676973,351.67401816893835,left,1,1,0.872192419716157,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
B,left,Distractor,0,16,16,16,353.17036359070335,355.1720346491784,left,1,1,1.311815528490115,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
T,left,Pretarget,0,17,17,17,356.66966327960836,358.67223033850314,left,1,1,0.6389775907155126,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
T,right,Target,0,18,18,18,360.1691044422332,362.1687717704335,None,0,1,,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
S,left,Distractor,0,19,19,19,363.6677910782164,365.6703661571373,left,1,1,0.818252102995757,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
T,left,Lure,0,20,20,20,367.16773750423454,369.16903129935963,left,1,1,1.0161459726514295,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
J,left,Distractor,0,21,21,21,370.6671857245383,372.6693367030239,left,1,1,0.7236080875154585,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
P,left,Distractor,0,22,22,22,374.166788571456,376.16821678268025,left,1,1,0.7910840097465552,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
F,left,Distractor,0,23,23,23,377.6661161701195,379.66793415596476,left,1,1,0.8166413553990424,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
L,left,Distractor,0,24,24,24,381.16550760844257,383.1674632183858,left,1,1,0.920254357624799,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
W,left,Pretarget,0,25,25,25,384.6651787862065,386.6665498946677,left,1,1,0.8486926991026849,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
W,right,Target,0,26,26,26,388.16410955262836,390.1638740838389,right,1,1,0.8486882078577764,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
V,left,Distractor,0,27,27,27,391.6637303644675,393.6642218334018,left,1,1,0.8656711534131318,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
W,left,Lure,0,28,28,28,395.17982532962924,397.1822181929019,left,1,1,1.1382869036169723,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
R,left,Pretarget,0,29,29,29,398.67936112888856,400.6806642272859,left,1,1,0.6425747452885844,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
R,right,Target,0,30,30,30,402.1792151639238,404.17843786027515,right,1,1,0.7194912334089167,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
G,left,Distractor,0,31,31,31,405.6780002861051,407.67886869754875,left,1,1,0.5816265054163523,L08T02,2022-10-21_10h33.55.460,t1_Paradigm,2021.1.4,59.993417861785716,
