Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2788.8832079743734,2790.885972330143,left,1,0.5039115457620937,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
P,left,Pretarget,0,1,1,1,2792.3834877142217,2794.384299023921,left,1,0.4794869212200865,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
B,left,Distractor,0,2,2,2,2795.8827954222797,2797.8839682764665,left,1,0.33954032842302695,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
K,left,Pretarget,0,3,3,3,2799.382263210806,2801.3838611284154,left,1,0.4482308058941271,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
H,left,Distractor,0,4,4,4,2802.8816828789422,2804.883116866433,left,1,0.6591097343771253,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
P,right,Target,0,5,5,5,2806.381121153652,2808.3821769149217,right,1,0.8989568141987547,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
L,left,Distractor,0,6,6,6,2809.880637062568,2811.8813636803825,left,1,0.5112325812224299,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
K,right,Target,0,7,7,7,2813.379993211798,2815.3808112583647,None,0,,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
Z,left,Pretarget,0,8,8,8,2816.8792912957724,2818.8813415450277,left,1,0.8336484683968592,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
S,left,Pretarget,0,9,9,9,2820.378636537731,2822.37813704813,left,1,0.6805037370359059,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
N,left,Distractor,0,10,10,10,2823.8781595043256,2825.8802299640956,left,1,0.5664119066495914,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
M,left,Distractor,0,11,11,11,2827.377645257802,2829.3791324985214,left,1,0.7292503293137997,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
Z,right,Target,0,12,12,12,2830.8767460481904,2832.878618251998,left,0,0.9360682180267759,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
S,right,Target,0,13,13,13,2834.3762407841277,2836.3777376489306,right,1,0.8782579906983301,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
Q,left,Distractor,0,14,14,14,2837.876512503921,2839.8757701667782,left,1,0.8093454280169681,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
V,left,Lure,0,15,15,15,2841.3752857548825,2843.376139731321,left,1,0.6726158434175886,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
Z,right,Target,0,16,16,16,2844.8747827364423,2846.8747044606134,right,1,1.1205787791695911,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
X,left,Distractor,0,17,17,17,2848.3740782540117,2850.3749540450226,left,1,0.8458511565695517,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
V,left,Pretarget,0,18,18,18,2851.8735184535326,2853.8754384569183,left,1,1.3455698127509095,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
E,left,Distractor,0,19,19,19,2855.3722265815595,2857.374812571099,left,1,0.9040290236589499,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
R,left,Distractor,0,20,20,20,2858.8723212183395,2860.873252828984,left,1,0.5206199060776271,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
G,left,Distractor,0,21,21,21,2862.371750831342,2864.3730298712035,left,1,0.6088653148908634,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
V,right,Target,0,22,22,22,2865.8711926348915,2867.8711849356187,left,0,1.2857625893957447,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
T,left,Pretarget,0,23,23,23,2869.37030946539,2871.369669785083,left,1,0.6698399387532845,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
B,left,Distractor,0,24,24,24,2872.870003740565,2874.8689948164683,left,1,0.8645918011898175,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
S,left,Pretarget,0,25,25,25,2876.3689877588185,2878.371362660255,left,1,0.6648270777950529,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
G,left,Lure,0,26,26,26,2879.8689941748744,2881.870364322647,left,1,0.8799383545701858,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
T,right,Target,0,27,27,27,2883.3682810307364,2885.3701888436335,right,1,0.540236983273644,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
H,left,Distractor,0,28,28,28,2886.8845409090573,2888.8857179336774,left,1,0.7679054350883234,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
S,right,Target,0,29,29,29,2890.3837992135086,2892.384879676567,None,0,,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
D,left,Distractor,0,30,30,30,2893.883195463073,2895.8840250585345,left,1,1.0976292048289906,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
Z,left,Distractor,0,31,31,31,2897.3829022495192,2899.3821368145873,left,1,1.0079161242465489,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
J,left,Pretarget,0,32,32,32,2900.881902949506,2902.8833176888584,left,1,1.1314709888538346,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
C,left,Pretarget,0,33,33,33,2904.3814538259176,2906.382594599854,left,1,0.6491154510586057,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
H,left,Distractor,0,34,34,34,2907.8809803213226,2909.8819985486916,right,0,1.2515830002957955,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
B,left,Pretarget,0,35,35,35,2911.380288350163,2913.381874077284,left,1,0.7611948869016487,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
J,right,Target,0,36,36,36,2914.879831848113,2916.880585413368,right,1,0.49591682487516664,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
C,right,Target,0,37,37,37,2918.3791190248157,2920.380613002373,left,0,0.792049678217154,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
H,left,Distractor,0,38,38,38,2921.8787138511543,2923.8797615923686,right,0,0.7708686884434428,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
B,right,Target,0,39,39,39,2925.3778797644773,2927.3791947342106,left,0,0.4925750244874507,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
F,left,Pretarget,0,40,40,40,2928.87740946791,2930.878494742996,left,1,1.0464509290759452,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
M,left,Distractor,0,41,41,41,2932.3770196927944,2934.377016163955,left,1,0.7770550452114549,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
W,left,Pretarget,0,42,42,42,2935.8763992605964,2937.877577247651,left,1,0.587495372426929,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
Z,left,Distractor,0,43,43,43,2939.3755658155424,2941.37505349383,left,1,0.6213525549683254,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
F,right,Target,0,44,44,44,2942.8751930429426,2944.8758153999224,right,1,0.38260903596528806,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
B,left,Lure,0,45,45,45,2946.374571648368,2948.3763001326006,left,1,0.5842382638948038,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
W,right,Target,0,46,46,46,2949.8741433769173,2951.8751648123143,right,1,0.7512153605348431,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
X,left,Distractor,0,47,47,47,2953.3734642378986,2955.375388090906,left,1,0.8922619853401557,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
T,left,Distractor,0,48,48,48,2956.8720671426854,2958.8717335080146,left,1,0.6991728426655754,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
L,left,Pretarget,0,49,49,49,2960.3722827220045,2962.37358742606,left,1,0.532415174995549,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
J,left,Distractor,0,50,50,50,2963.871805046976,2965.8725393640634,left,1,0.6789305212150794,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
Z,left,Distractor,0,51,51,51,2967.3711124342517,2969.372116546292,left,1,0.7066558834339958,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
P,left,Pretarget,0,52,52,52,2970.870562899421,2972.871351752954,left,1,0.7142694908252452,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
L,right,Target,0,53,53,53,2974.3699248231133,2976.370642458467,left,0,0.5252689769258723,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
V,left,Distractor,0,54,54,54,2977.869318506273,2979.8709889252495,left,1,0.7602693715016358,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
F,left,Distractor,0,55,55,55,2981.3689669066516,2983.3688937636616,left,1,0.6629173400870059,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
P,right,Target,0,56,56,56,2984.8686339135747,2986.8693762507173,right,1,0.6120820022770204,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
T,left,Pretarget,0,57,57,57,2988.384396547888,2990.3862177440897,left,1,0.6996902972168755,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
D,left,Distractor,0,58,58,58,2991.883705539163,2993.8844815605844,left,1,0.9286073126131669,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
V,left,Distractor,0,59,59,59,2995.3831088463776,2997.3846162976697,right,0,0.6779841536190361,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
Z,left,Distractor,0,60,60,60,2998.8825397426262,3000.8835274937446,right,0,1.0361047253536526,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
T,right,Target,0,61,61,61,3002.3819154608063,3004.383689178241,right,1,0.9287805460044183,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
B,left,Distractor,0,62,62,62,3005.8814583171625,3007.88255642436,left,1,0.7084680971456692,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
J,left,Distractor,0,63,63,63,3009.380751268298,3011.382058217947,left,1,0.9234318047529086,3,3.0,L09A05,2022-11-30_09h02.49.125,t1_Paradigm,2021.1.4,60.0804109193435,
