vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
0,0,0,0,0,2351.2427423416593,VS1rightbutton,0,1,1,3,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
1,0,1,1,1,2357.5521209807557,VS1leftbutton,1,0,3,4,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
2,0,2,2,2,2364.3811759950477,VS1leftbutton,1,0,1,2,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
3,0,3,3,3,2369.1131163002574,VS1leftbutton,1,0,1,2,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
4,0,4,4,4,2373.512786516061,VS1rightbutton,0,1,4,1,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
5,0,5,5,5,2379.978337220382,VS1rightbutton,0,1,4,2,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
6,0,6,6,6,2399.91770761487,VS1leftbutton,1,0,1,3,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
7,0,7,7,7,2402.6934704012274,VS1leftbutton,1,0,1,4,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
8,0,8,8,8,2404.621999621453,VS1rightbutton,0,1,2,1,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
9,0,9,9,9,2407.7910027941834,VS1rightbutton,0,1,2,3,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
10,0,10,10,10,2411.371811792029,VS1leftbutton,1,0,3,2,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
11,0,11,11,11,2416.7069049368183,VS1rightbutton,0,1,3,4,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
12,0,12,12,12,2427.0944453177362,VS1rightbutton,0,1,4,1,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
13,0,13,13,13,2429.802247216241,VS1leftbutton,1,0,1,3,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
14,0,14,14,14,2431.5562529072668,VS1rightbutton,0,1,2,4,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
15,0,15,15,15,2434.9445773276566,VS1rightbutton,0,1,3,4,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
16,0,16,16,16,2437.4899271459217,VS1leftbutton,1,0,3,2,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
17,0,17,17,17,2439.7191672628214,VS1rightbutton,0,1,2,4,G27R09,2022-08-31_15h59.50.412,t1_Paradigm,2021.1.4,60.04272269495204,
