Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
0,0,0,0,0,2722.9390242493973,EDleftbutton,1,0,1.00,2.00,1,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
1,0,1,1,1,2729.1728216759366,EDrightbutton,0,1,0.50,2.00,1,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
2,0,2,2,2,2733.05658557867,EDrightbutton,0,1,0.75,2.00,1,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
3,0,3,3,3,2737.2402606193355,EDrightbutton,0,1,0.88,2.00,1,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
4,0,4,4,4,2743.0786233755352,EDrightbutton,0,1,0.94,2.00,1,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
5,0,5,5,5,2747.251921442061,EDrightbutton,0,1,0.97,2.00,1,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
0,0,0,0,0,2750.1845527542464,EDleftbutton,1,0,1.00,2.00,3,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
1,0,1,1,1,2758.3006371122756,EDrightbutton,0,1,0.50,2.00,3,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
2,0,2,2,2,2761.6958363141166,EDrightbutton,0,1,0.75,2.00,3,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
3,0,3,3,3,2763.3160291801178,EDrightbutton,0,1,0.88,2.00,3,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
4,0,4,4,4,2765.213936269516,EDrightbutton,0,1,0.94,2.00,3,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
5,0,5,5,5,2766.627028188843,EDrightbutton,0,1,0.97,2.00,3,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
0,0,0,0,0,2768.838151027041,EDleftbutton,1,0,1.00,2.00,2,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
1,0,1,1,1,2773.0356545478426,EDrightbutton,0,1,0.50,2.00,2,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
2,0,2,2,2,2775.264324920834,EDrightbutton,0,1,0.75,2.00,2,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
3,0,3,3,3,2776.3785659520217,EDrightbutton,0,1,0.88,2.00,2,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
4,0,4,4,4,2777.232587362334,EDrightbutton,0,1,0.94,2.00,2,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
5,0,5,5,5,2778.4031021528936,EDrightbutton,0,1,0.97,2.00,2,4,L15G05,2022-09-01_09h05.56.979,t1_Paradigm,2021.1.4,59.98933844633179,
