Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,2904.8304580923577,2906.8226751161637,None,0,0,3.0,,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
F,left,Distractor,0,1,1,1,2908.3229096223913,2910.323403336599,left,1,0,3.0,1.0579891235320247,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
G,left,Distractor,0,2,2,2,2911.823453381705,2913.8246782035603,left,1,0,3.0,0.7405812546458037,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
V,left,Distractor,0,3,3,3,2915.3230995371487,2917.323811075883,left,1,0,3.0,0.45745909454126377,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
H,left,Distractor,0,4,4,4,2918.822921492065,2920.823764559598,left,1,0,3.0,0.6054039730697696,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
C,left,Pretarget,0,5,5,5,2922.3232114970306,2924.3230488504414,left,1,0,3.0,0.5142724789147906,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
C,right,Target,0,6,6,6,2925.8229631963186,2927.8232673165694,right,1,0,3.0,0.4378115788967989,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
C,right,Target,0,7,7,7,2929.32329875516,2931.323454664911,right,1,0,3.0,0.42582770112130675,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
W,left,Distractor,0,8,8,8,2932.823156319093,2934.824239025689,left,1,0,3.0,0.5570296048899763,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
R,left,Pretarget,0,9,9,9,2936.323246143642,2938.3229144344223,left,1,0,3.0,0.4823276619827084,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
R,right,Target,0,10,10,10,2939.8229362489546,2941.823078364221,right,1,0,3.0,0.662056635661429,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
Z,left,Distractor,0,11,11,11,2943.3234322087737,2945.323558604745,left,1,0,3.0,0.5056621544827067,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
R,left,Lure,0,12,12,12,2946.823181983251,2948.8249313163033,None,0,0,3.0,,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
H,left,Pretarget,0,13,13,13,2950.3230482088366,2952.3238030558314,left,1,0,3.0,0.7374037112931546,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
H,right,Target,0,14,14,14,2953.823183266457,2955.822937852965,right,1,0,3.0,0.5340961148322094,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
K,left,Distractor,0,15,15,15,2957.3234059030146,2959.323273091006,left,1,0,3.0,0.5059592170873657,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
J,left,Distractor,0,16,16,16,2960.8229673667447,2962.822904168759,left,1,0,3.0,0.5262855496657721,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
H,left,Lure,0,17,17,17,2964.3231495822547,2966.3238341736214,right,0,0,3.0,0.7214194331536419,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
S,left,Distractor,0,18,18,18,2967.8231688303713,2969.8235589255455,left,1,0,3.0,0.4375231779413298,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
T,left,Pretarget,0,19,19,19,2971.322888449464,2973.3235082388383,left,1,0,3.0,0.6015444047625351,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
T,right,Target,0,20,20,20,2974.8230648905374,2976.823504710017,right,1,0,3.0,0.6376243588783836,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
X,left,Pretarget,0,21,21,21,2978.3231499030553,2980.323458193732,left,1,0,3.0,0.4978855943263625,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
X,right,Target,0,22,22,22,2981.8231890408933,2983.82310306597,right,1,0,3.0,0.582325159728498,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
W,left,Distractor,0,23,23,23,2985.3231790960344,2987.323792790172,left,1,0,3.0,0.5373256280981877,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
K,left,Distractor,0,24,24,24,2988.823145732629,2990.8235454518654,left,1,0,3.0,0.6694841632888711,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
F,left,Pretarget,0,25,25,25,2992.323150865461,2994.3256110956427,left,1,0,3.0,0.5277166471823875,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
F,right,Target,0,26,26,26,2995.82308830908,2997.8235608503564,right,1,0,3.0,0.453604338268633,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
Z,left,Distractor,0,27,27,27,2999.3231829456563,3001.3235217125184,left,1,0,3.0,0.4737436433097173,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
F,left,Lure,0,28,28,28,3002.8230379431734,3004.8233526498916,left,1,0,3.0,0.5419105296168709,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
P,left,Distractor,0,29,29,29,3006.323343346634,3008.322873050969,left,1,0,3.0,0.5144460327719571,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
F,left,Lure,0,30,30,30,3009.8231130108325,3011.82413284024,left,1,0,3.0,0.6291109166304523,L18G09,2022-08-23_14h39.23.303,t1_Paradigm,2021.1.4,60.03493641570167,
