vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
0,0,0,0,0,2569.327096093897,VS1rightbutton,0,1,1,2,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
1,0,1,1,1,2586.401737333392,VS1leftbutton,1,0,3,4,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
2,0,2,2,2,2596.2433306140156,VS1rightbutton,0,1,3,2,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
3,0,3,3,3,2604.7427032863925,VS1leftbutton,1,0,2,3,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
4,0,4,4,4,2608.2444373796898,VS1leftbutton,1,0,2,4,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
5,0,5,5,5,2613.9193600905564,VS1rightbutton,0,1,1,2,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
6,0,6,6,6,2619.144838734617,VS1rightbutton,0,1,4,1,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
7,0,7,7,7,2627.411890705451,VS1leftbutton,1,0,3,4,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
8,0,8,8,8,2641.5579484863265,VS1leftbutton,1,0,1,3,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
9,0,9,9,9,2649.999532592017,VS1rightbutton,0,1,3,2,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
10,0,10,10,10,2657.3255777397135,VS1rightbutton,0,1,3,1,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
11,0,11,11,11,2661.760605301388,VS1rightbutton,0,1,4,3,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
12,0,12,12,12,2668.444576864247,VS1rightbutton,0,1,4,2,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
13,0,13,13,13,2674.805713862268,VS1rightbutton,0,1,4,1,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
14,0,14,14,14,2681.4428708410996,VS1leftbutton,1,0,2,1,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
15,0,15,15,15,2688.8844398691,VS1leftbutton,1,0,2,4,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
16,0,16,16,16,2693.7609463135304,VS1rightbutton,0,1,4,1,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
17,0,17,17,17,2696.493925139657,VS1leftbutton,1,0,1,3,L20I01,2022-11-22_14h43.08.141,t1_Paradigm,2021.1.4,59.922242344305694,
