Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
0,0,0,0,0,2999.6563830326486,EDleftbutton,1,0,1.00,2.00,2,4,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
1,0,1,1,1,3009.378590497974,EDrightbutton,0,1,0.50,2.00,2,4,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
2,0,2,2,2,3018.598068578518,EDleftbutton,1,0,0.75,2.00,2,4,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
3,0,3,3,3,3024.7934396599885,EDrightbutton,0,1,0.62,2.00,2,4,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
4,0,4,4,4,3027.45314203258,EDrightbutton,0,1,0.68,2.00,2,4,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
5,0,5,5,5,3029.7839673346316,EDleftbutton,1,0,0.71,2.00,2,4,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
0,0,0,0,0,3032.3913058123435,EDleftbutton,1,0,1.00,2.00,1,4,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
1,0,1,1,1,3035.884946551145,EDleftbutton,1,0,0.50,2.00,1,4,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
2,0,2,2,2,3038.8179223183834,EDrightbutton,0,1,0.25,2.00,1,4,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
3,0,3,3,3,3042.0940251880966,EDrightbutton,0,1,0.38,2.00,1,4,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
