Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
D,left,Distractor,0,0,0,0,3147.247700008913,3149.245342433831,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
M,left,Pretarget,0,1,1,1,3150.7449584336428,3152.7296699651342,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
T,left,Distractor,0,2,2,2,3154.228516039788,3156.2306455245125,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
G,left,Pretarget,0,3,3,3,3157.7284858843777,3159.7297447120363,left,1,2,3.0,0.939159228844801,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
M,right,Target,0,4,4,4,3161.2449584336428,3163.229509243276,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
P,left,Distractor,0,5,5,5,3164.7448913860135,3166.7297973236127,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
G,right,Target,0,6,6,6,3168.2447303433146,3170.2305662863655,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
J,left,Distractor,0,7,7,7,3171.7449202582065,3173.729351408605,left,1,2,3.0,1.2754959120065905,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
M,left,Lure,0,8,8,8,3175.228479468322,3177.2299538750667,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
F,left,Pretarget,0,9,9,9,3178.7287210323557,3180.730246125837,left,1,2,3.0,1.3628099189372733,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
R,left,Distractor,0,10,10,10,3182.2286703456193,3184.2307680709346,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
G,left,Distractor,0,11,11,11,3185.7285702553345,3187.728661042347,left,1,2,3.0,1.212406959355576,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
F,right,Target,0,12,12,12,3189.2287707566866,3191.2279559191957,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
F,left,Lure,0,13,13,13,3192.7286745160527,3194.7287280900055,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
S,left,Distractor,0,14,14,14,3196.228167648631,3198.2279074780818,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
F,right,Target,0,15,15,15,3199.7286411526147,3201.7284236487467,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
T,left,Pretarget,0,16,16,16,3203.2285105861374,3205.2449635664816,left,1,2,3.0,0.9917755950591527,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Z,left,Distractor,0,17,17,17,3206.7285166813817,3208.728979278094,left,1,2,3.0,1.060281612968538,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
W,left,Distractor,0,18,18,18,3210.2286193380714,3212.227965864062,left,1,2,3.0,1.0170086096622981,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
T,right,Target,0,19,19,19,3213.7283835484996,3215.7304392487276,left,0,2,3.0,1.3065944733389188,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
V,left,Distractor,0,20,20,20,3217.2286049019895,3219.2287110874895,left,1,2,3.0,0.8161713801964652,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
N,left,Distractor,0,21,21,21,3220.7287807015528,3222.7298268373997,left,1,2,3.0,1.315227259445237,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
P,left,Pretarget,0,22,22,22,3224.2285131525714,3226.2281718190643,left,1,2,3.0,1.1928916015895084,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
T,left,Lure,0,23,23,23,3227.7285609520914,3229.7287839095807,left,1,2,3.0,1.4521193153050262,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
L,left,Pretarget,0,24,24,24,3231.2286109972047,3233.2296372433193,left,1,2,3.0,1.4392984570295084,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
P,right,Target,0,25,25,25,3234.7283710371994,3236.7288689221605,left,0,2,3.0,0.9642129151325207,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
G,left,Pretarget,0,26,26,26,3238.228091618512,3240.2299250028736,left,1,2,3.0,1.0790835067455191,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
L,right,Target,0,27,27,27,3241.728324200085,3243.7299006218964,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
F,left,Distractor,0,28,28,28,3245.2284371224523,3247.22813556841,None,0,2,3.0,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
