vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
0,0,0,0,0,2459.014114002697,VS1rightbutton,0,1,2,3,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
1,0,1,1,1,2516.85022205906,VS1leftbutton,1,0,2,1,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
2,0,2,2,2,2527.544385195826,VS1leftbutton,1,0,4,1,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
3,0,3,3,3,2532.8989496302092,VS1rightbutton,0,1,3,4,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
4,0,4,4,4,2538.4652241058648,VS1leftbutton,1,0,3,2,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
5,0,5,5,5,2546.0328286263393,VS1leftbutton,1,0,4,1,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
6,0,6,6,6,2548.698501662351,VS1leftbutton,1,0,3,1,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
7,0,7,7,7,2558.2940127447946,VS1rightbutton,0,1,2,3,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
8,0,8,8,8,2564.5989317937056,VS1leftbutton,1,0,4,2,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
9,0,9,9,9,2579.4984925516183,VS1leftbutton,1,0,4,3,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
10,0,10,10,10,2581.8990147530567,VS1rightbutton,0,1,3,4,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
11,0,11,11,11,2583.964267795207,VS1rightbutton,0,1,2,4,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
12,0,12,12,12,2586.099254199653,VS1leftbutton,1,0,2,1,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
13,0,13,13,13,2588.499654175481,VS1leftbutton,1,0,3,1,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
14,0,14,14,14,2590.94827389298,VS1leftbutton,1,0,3,1,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
15,0,15,15,15,2592.581248869188,VS1rightbutton,0,1,1,4,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
16,0,16,16,16,2594.384151998558,VS1leftbutton,1,0,4,2,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
17,0,17,17,17,2596.517811566009,VS1rightbutton,0,1,1,2,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
