Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,2794.497592381318,2796.49231775559,left,1,0.6465801870217547,0,3.0,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
F,left,Distractor,0,1,1,1,2797.9925413546152,2799.992307810695,left,1,0.6022001239471138,0,3.0,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
G,left,Distractor,0,2,2,2,2801.492490026285,2803.4923620262416,left,1,0.5583599705714732,0,3.0,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
V,left,Distractor,0,3,3,3,2804.9923013946973,2806.9922869586153,left,1,0.6264132929500192,0,3.0,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
H,left,Distractor,0,4,4,4,2808.4924034096766,2810.492334116483,left,1,0.4863120223162696,0,3.0,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
C,left,Pretarget,0,5,5,5,2811.992567018722,2813.992530768155,left,1,0.4582566082244739,0,3.0,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
C,right,Target,0,6,6,6,2815.492626687861,2817.492298507481,right,1,0.5103744143852964,0,3.0,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
C,right,Target,0,7,7,7,2818.9924983670935,2820.992408863385,right,1,0.4501306946622208,0,3.0,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
W,left,Distractor,0,8,8,8,2822.492653635214,2824.492432281957,left,1,0.6145076908869669,0,3.0,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
R,left,Pretarget,0,9,9,9,2825.992378707975,2827.9929391490296,left,1,0.6660095573170111,0,3.0,L29R12,2022-10-21_16h12.18.308,t1_Paradigm,2021.1.4,59.987568288396645,
