vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
0,0,0,0,0,2412.810104353557,VS1rightbutton,0,1,3,1,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
1,0,1,1,1,2418.3989431510563,VS1rightbutton,0,1,4,3,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
2,0,2,2,2,2424.366127067595,VS1leftbutton,1,0,1,3,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
3,0,3,3,3,2429.6966271877463,VS1rightbutton,0,1,2,1,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
4,0,4,4,4,2436.883423890278,VS1rightbutton,0,1,2,1,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
5,0,5,5,5,2445.9004424175364,VS1rightbutton,0,1,2,1,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
6,0,6,6,6,2449.6992375507252,VS1leftbutton,1,0,1,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
7,0,7,7,7,2456.6296405962785,VS1rightbutton,0,1,4,3,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
8,0,8,8,8,2462.9818378148775,VS1leftbutton,1,0,2,3,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
9,0,9,9,9,2466.199610161828,VS1rightbutton,0,1,4,2,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
10,0,10,10,10,2486.396920175903,VS1leftbutton,1,0,1,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
11,0,11,11,11,2489.780056788295,VS1leftbutton,1,0,2,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
12,0,12,12,12,2492.612917206541,VS1leftbutton,1,0,2,3,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
13,0,13,13,13,2495.5466184138204,VS1leftbutton,1,0,2,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
14,0,14,14,14,2499.2980840763485,VS1rightbutton,0,1,3,1,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
15,0,15,15,15,2501.5962403330486,VS1leftbutton,1,0,1,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
16,0,16,16,16,2503.7185244664142,VS1leftbutton,1,0,3,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
17,0,17,17,17,2507.141096583422,VS1rightbutton,0,1,3,2,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
