Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
0,0,0,0,0,2539.7033271300897,EDleftbutton,1,0,1.00,2.00,3,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
1,0,1,1,1,2552.9423182602623,EDrightbutton,0,1,0.50,2.00,3,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
2,0,2,2,2,2556.689773581398,EDrightbutton,0,1,0.75,2.00,3,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
3,0,3,3,3,2562.319550518412,EDrightbutton,0,1,0.88,2.00,3,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
4,0,4,4,4,2570.08697798755,EDleftbutton,1,0,0.94,2.00,3,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
5,0,5,5,5,2571.800170089031,EDleftbutton,1,0,0.91,2.00,3,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
0,0,0,0,0,2575.157800083485,EDleftbutton,1,0,1.00,2.00,2,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
1,0,1,1,1,2580.666686128621,EDrightbutton,0,1,0.50,2.00,2,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
2,0,2,2,2,2583.367784970498,EDleftbutton,1,0,0.75,2.00,2,4,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
